time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu
30.020934000;3.414e-09;-3.404e-09;-1.190e-10;-8.583e-09;-5.847e-10;2.052e-04;8.219e-10;9.745e-01;2.178e-09;-4.271e-09;-4.354e-09;6.660e-01;9.000e-05
30.021190000;3.308e-09;-3.452e-09;-1.802e-10;-8.571e-09;-5.471e-10;2.066e-04;7.756e-10;9.679e-01;1.849e-09;-4.566e-09;-4.511e-09;6.660e-01;9.000e-05
30.021446000;3.212e-09;-3.494e-09;-2.370e-10;-8.545e-09;-5.118e-10;2.072e-04;7.288e-10;9.653e-01;1.509e-09;-4.854e-09;-4.682e-09;6.660e-01;9.000e-05
30.021702000;3.123e-09;-3.534e-09;-2.934e-10;-8.506e-09;-4.761e-10;2.078e-04;6.832e-10;9.626e-01;1.160e-09;-5.133e-09;-4.867e-09;6.660e-01;9.000e-05
30.021958000;3.040e-09;-3.578e-09;-3.535e-10;-8.451e-09;-4.385e-10;2.083e-04;6.389e-10;9.600e-01;8.094e-10;-5.405e-09;-5.067e-09;6.660e-01;9.000e-05
30.022214000;2.961e-09;-3.630e-09;-4.206e-10;-8.383e-09;-3.985e-10;2.095e-04;5.959e-10;9.547e-01;4.608e-10;-5.667e-09;-5.282e-09;6.660e-01;9.000e-05
30.022470000;2.885e-09;-3.694e-09;-4.975e-10;-8.301e-09;-3.565e-10;2.109e-04;5.547e-10;9.484e-01;1.193e-10;-5.920e-09;-5.508e-09;6.660e-01;9.000e-05
30.022726000;2.811e-09;-3.771e-09;-5.865e-10;-8.207e-09;-3.134e-10;2.115e-04;5.158e-10;9.458e-01;-2.116e-10;-6.164e-09;-5.745e-09;6.660e-01;9.000e-05
30.022982000;2.737e-09;-3.861e-09;-6.895e-10;-8.103e-09;-2.704e-10;2.120e-04;4.793e-10;9.432e-01;-5.289e-10;-6.399e-09;-5.988e-09;6.660e-01;9.000e-05
30.023238000;2.665e-09;-3.963e-09;-8.071e-10;-7.990e-09;-2.271e-10;2.126e-04;4.446e-10;9.406e-01;-8.302e-10;-6.626e-09;-6.232e-09;6.660e-01;9.000e-05
30.023494000;2.597e-09;-4.073e-09;-9.388e-10;-7.871e-09;-1.825e-10;2.132e-04;4.103e-10;9.380e-01;-1.114e-09;-6.842e-09;-6.475e-09;6.660e-01;9.000e-05
30.023750000;2.537e-09;-4.186e-09;-1.082e-09;-7.750e-09;-1.345e-10;2.146e-04;3.750e-10;9.319e-01;-1.381e-09;-7.045e-09;-6.714e-09;6.660e-01;9.000e-05
30.024006000;2.489e-09;-4.297e-09;-1.233e-09;-7.629e-09;-8.116e-11;2.152e-04;3.374e-10;9.293e-01;-1.630e-09;-7.234e-09;-6.949e-09;6.660e-01;9.000e-05
30.024262000;2.459e-09;-4.404e-09;-1.385e-09;-7.513e-09;-2.074e-11;2.158e-04;2.976e-10;9.268e-01;-1.863e-09;-7.405e-09;-7.179e-09;6.660e-01;9.000e-05
30.024518000;2.452e-09;-4.503e-09;-1.533e-09;-7.405e-09;4.741e-11;2.164e-04;2.572e-10;9.242e-01;-2.078e-09;-7.559e-09;-7.405e-09;6.660e-01;9.000e-05
30.024774000;2.474e-09;-4.594e-09;-1.672e-09;-7.310e-09;1.231e-10;2.170e-04;2.181e-10;9.216e-01;-2.275e-09;-7.693e-09;-7.627e-09;6.660e-01;9.000e-05
30.025030000;2.525e-09;-4.677e-09;-1.797e-09;-7.231e-09;2.056e-10;2.176e-04;1.821e-10;9.191e-01;-2.450e-09;-7.804e-09;-7.845e-09;6.660e-01;9.000e-05
30.025286000;2.607e-09;-4.752e-09;-1.905e-09;-7.168e-09;2.930e-10;2.190e-04;1.496e-10;9.132e-01;-2.600e-09;-7.890e-09;-8.054e-09;6.660e-01;9.000e-05
30.025542000;2.717e-09;-4.819e-09;-1.990e-09;-7.121e-09;3.829e-10;2.196e-04;1.192e-10;9.107e-01;-2.723e-09;-7.948e-09;-8.252e-09;6.660e-01;9.000e-05
30.025798000;2.855e-09;-4.878e-09;-2.051e-09;-7.085e-09;4.721e-10;2.202e-04;8.752e-11;9.081e-01;-2.818e-09;-7.977e-09;-8.434e-09;6.660e-01;9.000e-05
30.026054000;3.019e-09;-4.929e-09;-2.085e-09;-7.057e-09;5.579e-10;2.208e-04;5.048e-11;9.056e-01;-2.886e-09;-7.978e-09;-8.595e-09;6.660e-01;9.000e-05
30.026310000;3.208e-09;-4.971e-09;-2.091e-09;-7.032e-09;6.376e-10;2.215e-04;3.992e-12;9.031e-01;-2.928e-09;-7.952e-09;-8.726e-09;6.660e-01;9.000e-05
30.026566000;3.419e-09;-5.003e-09;-2.071e-09;-7.006e-09;7.092e-10;2.215e-04;-5.517e-11;9.031e-01;-2.948e-09;-7.899e-09;-8.823e-09;6.660e-01;9.000e-05
30.026822000;3.649e-09;-5.027e-09;-2.025e-09;-6.977e-09;7.714e-10;2.221e-04;-1.283e-10;9.006e-01;-2.947e-09;-7.820e-09;-8.881e-09;6.660e-01;9.000e-05
30.027078000;3.893e-09;-5.042e-09;-1.958e-09;-6.945e-09;8.240e-10;2.235e-04;-2.145e-10;8.949e-01;-2.928e-09;-7.714e-09;-8.900e-09;6.660e-01;9.000e-05
30.027334000;4.146e-09;-5.050e-09;-1.872e-09;-6.909e-09;8.671e-10;2.241e-04;-3.112e-10;8.924e-01;-2.894e-09;-7.585e-09;-8.879e-09;6.660e-01;9.000e-05
30.027590000;4.404e-09;-5.053e-09;-1.771e-09;-6.868e-09;8.994e-10;2.247e-04;-4.150e-10;8.899e-01;-2.847e-09;-7.432e-09;-8.821e-09;6.660e-01;9.000e-05
30.027846000;4.661e-09;-5.055e-09;-1.658e-09;-6.817e-09;9.185e-10;2.254e-04;-5.218e-10;8.875e-01;-2.791e-09;-7.260e-09;-8.728e-09;6.660e-01;9.000e-05
30.028102000;4.914e-09;-5.054e-09;-1.538e-09;-6.751e-09;9.220e-10;2.260e-04;-6.275e-10;8.850e-01;-2.727e-09;-7.071e-09;-8.609e-09;6.660e-01;9.000e-05
30.028358000;5.156e-09;-5.053e-09;-1.412e-09;-6.666e-09;9.084e-10;2.260e-04;-7.287e-10;8.850e-01;-2.656e-09;-6.865e-09;-8.470e-09;6.660e-01;9.000e-05
30.028614000;5.386e-09;-5.051e-09;-1.284e-09;-6.558e-09;8.777e-10;2.266e-04;-8.235e-10;8.825e-01;-2.579e-09;-6.644e-09;-8.316e-09;6.660e-01;9.000e-05
30.028870000;5.601e-09;-5.049e-09;-1.153e-09;-6.425e-09;8.314e-10;2.280e-04;-9.109e-10;8.770e-01;-2.493e-09;-6.412e-09;-8.153e-09;6.660e-01;9.000e-05
30.029126000;5.804e-09;-5.047e-09;-1.022e-09;-6.266e-09;7.718e-10;2.287e-04;-9.905e-10;8.746e-01;-2.396e-09;-6.170e-09;-7.985e-09;6.660e-01;9.000e-05
30.029382000;5.995e-09;-5.043e-09;-8.899e-10;-6.079e-09;7.012e-10;2.293e-04;-1.062e-09;8.722e-01;-2.285e-09;-5.923e-09;-7.816e-09;6.660e-01;9.000e-05
30.029638000;6.173e-09;-5.037e-09;-7.596e-10;-5.865e-09;6.215e-10;2.293e-04;-1.127e-09;8.722e-01;-2.159e-09;-5.675e-09;-7.648e-09;6.660e-01;9.000e-05
30.029894000;6.339e-09;-5.026e-09;-6.321e-10;-5.627e-09;5.351e-10;2.300e-04;-1.185e-09;8.697e-01;-2.020e-09;-5.428e-09;-7.483e-09;6.660e-01;9.000e-05
30.030150000;6.490e-09;-5.009e-09;-5.089e-10;-5.368e-09;4.449e-10;2.306e-04;-1.237e-09;8.673e-01;-1.872e-09;-5.188e-09;-7.321e-09;6.660e-01;9.000e-05
30.030406000;6.624e-09;-4.985e-09;-3.906e-10;-5.091e-09;3.544e-10;2.312e-04;-1.286e-09;8.649e-01;-1.719e-09;-4.958e-09;-7.163e-09;6.660e-01;9.000e-05
30.030662000;6.740e-09;-4.954e-09;-2.767e-10;-4.801e-09;2.678e-10;2.320e-04;-1.332e-09;8.620e-01;-1.566e-09;-4.737e-09;-7.009e-09;6.660e-01;9.000e-05
30.030918000;6.835e-09;-4.917e-09;-1.663e-10;-4.503e-09;1.887e-10;2.327e-04;-1.376e-09;8.596e-01;-1.418e-09;-4.529e-09;-6.860e-09;6.660e-01;9.000e-05
30.031174000;6.908e-09;-4.879e-09;-5.865e-11;-4.201e-09;1.199e-10;2.333e-04;-1.420e-09;8.572e-01;-1.281e-09;-4.331e-09;-6.717e-09;6.660e-01;9.000e-05
30.031430000;6.957e-09;-4.843e-09;4.571e-11;-3.898e-09;6.367e-11;2.333e-04;-1.462e-09;8.572e-01;-1.158e-09;-4.144e-09;-6.580e-09;6.660e-01;9.000e-05
30.031686000;6.980e-09;-4.812e-09;1.448e-10;-3.597e-09;2.123e-11;2.340e-04;-1.504e-09;8.548e-01;-1.052e-09;-3.967e-09;-6.449e-09;6.660e-01;9.000e-05
30.031942000;6.976e-09;-4.789e-09;2.357e-10;-3.296e-09;-8.269e-12;2.346e-04;-1.544e-09;8.525e-01;-9.624e-10;-3.798e-09;-6.322e-09;6.660e-01;9.000e-05
30.032198000;6.944e-09;-4.776e-09;3.149e-10;-2.997e-09;-2.745e-11;2.346e-04;-1.582e-09;8.525e-01;-8.891e-10;-3.638e-09;-6.199e-09;6.660e-01;9.000e-05
30.032454000;6.885e-09;-4.772e-09;3.795e-10;-2.698e-09;-3.975e-11;2.353e-04;-1.617e-09;8.501e-01;-8.298e-10;-3.483e-09;-6.077e-09;6.660e-01;9.000e-05
30.032710000;6.802e-09;-4.776e-09;4.275e-10;-2.401e-09;-4.873e-11;2.359e-04;-1.650e-09;8.477e-01;-7.805e-10;-3.332e-09;-5.956e-09;6.660e-01;9.000e-05
30.032966000;6.696e-09;-4.789e-09;4.586e-10;-2.106e-09;-5.771e-11;2.367e-04;-1.684e-09;8.450e-01;-7.352e-10;-3.178e-09;-5.837e-09;6.660e-01;9.000e-05
30.033222000;6.573e-09;-4.810e-09;4.734e-10;-1.814e-09;-6.976e-11;2.373e-04;-1.724e-09;8.427e-01;-6.881e-10;-3.020e-09;-5.719e-09;6.660e-01;9.000e-05
30.033478000;6.435e-09;-4.840e-09;4.739e-10;-1.529e-09;-8.768e-11;2.380e-04;-1.771e-09;8.403e-01;-6.343e-10;-2.856e-09;-5.603e-09;6.660e-01;9.000e-05
30.033734000;6.286e-09;-4.878e-09;4.628e-10;-1.255e-09;-1.132e-10;2.380e-04;-1.824e-09;8.403e-01;-5.705e-10;-2.687e-09;-5.490e-09;6.660e-01;9.000e-05
30.033990000;6.128e-09;-4.921e-09;4.432e-10;-9.967e-10;-1.467e-10;2.387e-04;-1.882e-09;8.380e-01;-4.949e-10;-2.512e-09;-5.381e-09;6.660e-01;9.000e-05
30.034246000;5.963e-09;-4.968e-09;4.184e-10;-7.584e-10;-1.879e-10;2.393e-04;-1.943e-09;8.356e-01;-4.069e-10;-2.333e-09;-5.275e-09;6.660e-01;9.000e-05
30.034502000;5.796e-09;-5.014e-09;3.918e-10;-5.443e-10;-2.368e-10;2.393e-04;-2.006e-09;8.356e-01;-3.073e-10;-2.148e-09;-5.173e-09;6.660e-01;9.000e-05
30.034758000;5.628e-09;-5.058e-09;3.666e-10;-3.577e-10;-2.933e-10;2.400e-04;-2.071e-09;8.333e-01;-1.972e-10;-1.960e-09;-5.075e-09;6.660e-01;9.000e-05
30.035014000;5.463e-09;-5.095e-09;3.442e-10;-2.013e-10;-3.562e-10;2.400e-04;-2.138e-09;8.333e-01;-7.690e-11;-1.768e-09;-4.982e-09;6.660e-01;9.000e-05
30.035270000;5.303e-09;-5.123e-09;3.251e-10;-7.706e-11;-4.242e-10;2.414e-04;-2.204e-09;8.284e-01;5.423e-11;-1.574e-09;-4.895e-09;6.660e-01;9.000e-05
30.035526000;5.146e-09;-5.139e-09;3.090e-10;1.470e-11;-4.949e-10;2.414e-04;-2.267e-09;8.284e-01;1.972e-10;-1.380e-09;-4.814e-09;6.660e-01;9.000e-05
30.035782000;4.993e-09;-5.140e-09;2.959e-10;7.551e-11;-5.662e-10;2.421e-04;-2.324e-09;8.261e-01;3.519e-10;-1.186e-09;-4.741e-09;6.660e-01;9.000e-05
30.036038000;4.842e-09;-5.126e-09;2.860e-10;1.073e-10;-6.370e-10;2.428e-04;-2.376e-09;8.238e-01;5.173e-10;-9.933e-10;-4.675e-09;6.660e-01;9.000e-05
30.036294000;4.692e-09;-5.099e-09;2.792e-10;1.115e-10;-7.080e-10;2.428e-04;-2.421e-09;8.238e-01;6.919e-10;-8.020e-10;-4.619e-09;6.660e-01;9.000e-05
30.036550000;4.542e-09;-5.062e-09;2.747e-10;8.925e-11;-7.801e-10;2.434e-04;-2.462e-09;8.215e-01;8.755e-10;-6.133e-10;-4.574e-09;6.660e-01;9.000e-05
30.036806000;4.387e-09;-5.021e-09;2.711e-10;4.235e-11;-8.537e-10;2.434e-04;-2.498e-09;8.215e-01;1.068e-09;-4.282e-10;-4.544e-09;6.660e-01;9.000e-05
30.037062000;4.224e-09;-4.979e-09;2.670e-10;-2.712e-11;-9.275e-10;2.441e-04;-2.531e-09;8.193e-01;1.268e-09;-2.475e-10;-4.529e-09;6.660e-01;9.000e-05
30.037318000;4.050e-09;-4.938e-09;2.612e-10;-1.170e-10;-9.987e-10;2.441e-04;-2.561e-09;8.193e-01;1.474e-09;-7.261e-11;-4.528e-09;6.660e-01;9.000e-05
30.037574000;3.866e-09;-4.901e-09;2.522e-10;-2.252e-10;-1.064e-09;2.448e-04;-2.589e-09;8.170e-01;1.685e-09;9.485e-11;-4.541e-09;6.660e-01;9.000e-05
30.037830000;3.670e-09;-4.869e-09;2.379e-10;-3.491e-10;-1.123e-09;2.455e-04;-2.613e-09;8.145e-01;1.900e-09;2.525e-10;-4.564e-09;6.660e-01;9.000e-05
30.038086000;3.463e-09;-4.840e-09;2.156e-10;-4.858e-10;-1.174e-09;2.462e-04;-2.634e-09;8.123e-01;2.118e-09;3.977e-10;-4.594e-09;6.660e-01;9.000e-05
30.038342000;3.242e-09;-4.815e-09;1.829e-10;-6.320e-10;-1.220e-09;2.462e-04;-2.650e-09;8.123e-01;2.338e-09;5.282e-10;-4.627e-09;6.660e-01;9.000e-05
30.038598000;3.008e-09;-4.792e-09;1.392e-10;-7.845e-10;-1.265e-09;2.469e-04;-2.664e-09;8.100e-01;2.559e-09;6.435e-10;-4.663e-09;6.660e-01;9.000e-05
30.038854000;2.760e-09;-4.771e-09;8.629e-11;-9.393e-10;-1.311e-09;2.469e-04;-2.680e-09;8.100e-01;2.778e-09;7.453e-10;-4.699e-09;6.660e-01;9.000e-05
30.039110000;2.499e-09;-4.752e-09;2.724e-11;-1.093e-09;-1.362e-09;2.476e-04;-2.702e-09;8.078e-01;2.994e-09;8.359e-10;-4.735e-09;6.660e-01;9.000e-05
30.039366000;2.227e-09;-4.733e-09;-3.453e-11;-1.242e-09;-1.417e-09;2.476e-04;-2.733e-09;8.078e-01;3.205e-09;9.174e-10;-4.765e-09;6.660e-01;9.000e-05
30.039622000;1.947e-09;-4.715e-09;-9.634e-11;-1.385e-09;-1.476e-09;2.483e-04;-2.774e-09;8.056e-01;3.408e-09;9.918e-10;-4.789e-09;6.660e-01;9.000e-05
30.039878000;1.663e-09;-4.696e-09;-1.563e-10;-1.522e-09;-1.537e-09;2.483e-04;-2.825e-09;8.056e-01;3.601e-09;1.061e-09;-4.803e-09;6.660e-01;9.000e-05
30.040134000;1.378e-09;-4.673e-09;-2.132e-10;-1.652e-09;-1.596e-09;2.490e-04;-2.882e-09;8.033e-01;3.784e-09;1.124e-09;-4.809e-09;6.660e-01;9.000e-05
30.040390000;1.100e-09;-4.646e-09;-2.672e-10;-1.774e-09;-1.650e-09;2.490e-04;-2.944e-09;8.033e-01;3.955e-09;1.184e-09;-4.807e-09;6.660e-01;9.000e-05
30.040646000;8.320e-10;-4.612e-09;-3.189e-10;-1.888e-09;-1.696e-09;2.497e-04;-3.009e-09;8.010e-01;4.115e-09;1.237e-09;-4.800e-09;6.660e-01;9.000e-05
30.040902000;5.792e-10;-4.569e-09;-3.686e-10;-1.995e-09;-1.730e-09;2.504e-04;-3.075e-09;7.988e-01;4.262e-09;1.285e-09;-4.789e-09;6.660e-01;9.000e-05
30.041158000;3.428e-10;-4.514e-09;-4.165e-10;-2.097e-09;-1.751e-09;2.504e-04;-3.139e-09;7.988e-01;4.392e-09;1.326e-09;-4.774e-09;6.660e-01;9.000e-05
30.041414000;1.228e-10;-4.444e-09;-4.627e-10;-2.195e-09;-1.757e-09;2.511e-04;-3.202e-09;7.966e-01;4.505e-09;1.362e-09;-4.754e-09;6.660e-01;9.000e-05
30.041926000;-2.699e-10;-4.251e-09;-5.518e-10;-2.376e-09;-1.731e-09;2.511e-04;-3.318e-09;7.966e-01;4.667e-09;1.428e-09;-4.700e-09;6.660e-01;9.000e-05
30.042182000;-4.424e-10;-4.126e-09;-5.944e-10;-2.451e-09;-1.701e-09;2.518e-04;-3.371e-09;7.944e-01;4.715e-09;1.462e-09;-4.664e-09;6.660e-01;9.000e-05
30.042438000;-5.977e-10;-3.979e-09;-6.345e-10;-2.511e-09;-1.662e-09;2.518e-04;-3.421e-09;7.944e-01;4.741e-09;1.499e-09;-4.622e-09;6.660e-01;9.000e-05
30.042694000;-7.340e-10;-3.811e-09;-6.718e-10;-2.554e-09;-1.617e-09;2.525e-04;-3.469e-09;7.922e-01;4.745e-09;1.543e-09;-4.576e-09;6.660e-01;9.000e-05
30.043206000;-9.376e-10;-3.414e-09;-7.407e-10;-2.587e-09;-1.518e-09;2.525e-04;-3.574e-09;7.922e-01;4.685e-09;1.646e-09;-4.463e-09;6.660e-01;9.000e-05
30.043462000;-9.970e-10;-3.189e-09;-7.744e-10;-2.577e-09;-1.467e-09;2.532e-04;-3.635e-09;7.900e-01;4.621e-09;1.701e-09;-4.395e-09;6.660e-01;9.000e-05
30.043718000;-1.024e-09;-2.948e-09;-8.088e-10;-2.549e-09;-1.418e-09;2.532e-04;-3.705e-09;7.900e-01;4.538e-09;1.755e-09;-4.319e-09;6.660e-01;9.000e-05
30.043974000;-1.019e-09;-2.695e-09;-8.444e-10;-2.504e-09;-1.372e-09;2.539e-04;-3.781e-09;1.576e+00;4.437e-09;1.807e-09;-4.235e-09;6.660e-01;9.000e-05
30.044230000;-9.795e-10;-2.433e-09;-8.822e-10;-2.441e-09;-1.331e-09;2.546e-04;-3.861e-09;1.571e+00;4.322e-09;1.854e-09;-4.142e-09;6.660e-01;9.000e-05
30.044486000;-9.055e-10;-2.166e-09;-9.235e-10;-2.359e-09;-1.293e-09;2.546e-04;-3.943e-09;1.571e+00;4.194e-09;1.891e-09;-4.041e-09;6.660e-01;9.000e-05
30.044742000;-7.970e-10;-1.895e-09;-9.707e-10;-2.260e-09;-1.260e-09;2.553e-04;-4.025e-09;1.567e+00;4.055e-09;1.917e-09;-3.932e-09;6.660e-01;9.000e-05
30.044998000;-6.554e-10;-1.623e-09;-1.027e-09;-2.145e-09;-1.232e-09;2.553e-04;-4.104e-09;1.567e+00;3.907e-09;1.929e-09;-3.815e-09;6.660e-01;9.000e-05
30.045510000;-4.832e-10;-1.351e-09;-1.093e-09;-2.014e-09;-1.210e-09;2.560e-04;-4.182e-09;1.563e+00;3.751e-09;1.929e-09;-3.693e-09;6.660e-01;9.000e-05
30.046098000;1.284e-09;4.673e-10;-1.869e-09;-5.557e-10;-1.207e-09;2.560e-04;-4.658e-09;1.563e+00;2.720e-09;1.764e-09;-2.837e-09;6.660e-01;9.000e-05
30.046114000;1.588e-09;6.898e-10;-2.024e-09;-2.720e-10;-1.210e-09;2.567e-04;-4.691e-09;1.558e+00;2.633e-09;1.716e-09;-2.729e-09;6.660e-01;9.000e-05
30.046850000;3.173e-09;1.551e-09;-2.860e-09;1.294e-09;-1.103e-09;2.567e-04;-4.504e-09;1.558e+00;2.451e-09;1.438e-09;-2.334e-09;6.660e-01;9.000e-05
30.047362000;3.482e-09;1.665e-09;-3.026e-09;1.610e-09;-1.061e-09;2.574e-04;-4.380e-09;1.554e+00;2.457e-09;1.382e-09;-2.285e-09;6.660e-01;9.000e-05
30.047823000;3.780e-09;1.756e-09;-3.186e-09;1.920e-09;-1.015e-09;2.581e-04;-4.226e-09;1.550e+00;2.478e-09;1.323e-09;-2.246e-09;6.660e-01;9.000e-05
30.048284000;4.065e-09;1.823e-09;-3.342e-09;2.224e-09;-9.675e-10;2.588e-04;-4.043e-09;1.546e+00;2.511e-09;1.258e-09;-2.215e-09;6.660e-01;9.000e-05
30.048745000;4.334e-09;1.868e-09;-3.491e-09;2.521e-09;-9.187e-10;2.595e-04;-3.835e-09;1.541e+00;2.553e-09;1.184e-09;-2.189e-09;6.660e-01;9.000e-05
30.049206000;4.585e-09;1.895e-09;-3.635e-09;2.815e-09;-8.689e-10;2.595e-04;-3.607e-09;1.541e+00;2.599e-09;1.098e-09;-2.164e-09;6.660e-01;9.000e-05
30.049666000;4.820e-09;1.909e-09;-3.770e-09;3.107e-09;-8.182e-10;2.602e-04;-3.364e-09;1.537e+00;2.643e-09;9.991e-10;-2.139e-09;6.660e-01;9.000e-05
30.050127000;5.037e-09;1.913e-09;-3.894e-09;3.399e-09;-7.662e-10;2.602e-04;-3.112e-09;1.537e+00;2.679e-09;8.850e-10;-2.109e-09;6.660e-01;9.000e-05
30.050588000;5.237e-09;1.911e-09;-4.005e-09;3.694e-09;-7.113e-10;2.609e-04;-2.857e-09;1.533e+00;2.702e-09;7.560e-10;-2.074e-09;6.660e-01;9.000e-05
30.051049000;5.418e-09;1.906e-09;-4.104e-09;3.990e-09;-6.506e-10;2.609e-04;-2.606e-09;1.533e+00;2.707e-09;6.140e-10;-2.033e-09;6.660e-01;9.000e-05
30.051510000;5.583e-09;1.898e-09;-4.190e-09;4.287e-09;-5.801e-10;2.616e-04;-2.361e-09;1.529e+00;2.692e-09;4.635e-10;-1.986e-09;6.660e-01;9.000e-05
30.052431000;5.864e-09;1.886e-09;-4.326e-09;4.880e-09;-3.998e-10;2.616e-04;-1.904e-09;1.529e+00;2.597e-09;1.568e-10;-1.868e-09;6.660e-01;9.000e-05
30.052892000;5.981e-09;1.885e-09;-4.375e-09;5.172e-09;-2.898e-10;2.631e-04;-1.692e-09;1.521e+00;2.521e-09;6.695e-12;-1.795e-09;6.660e-01;9.000e-05
30.053353000;6.081e-09;1.889e-09;-4.412e-09;5.457e-09;-1.676e-10;2.631e-04;-1.491e-09;1.521e+00;2.429e-09;-1.398e-10;-1.713e-09;6.660e-01;9.000e-05
30.053814000;6.164e-09;1.900e-09;-4.437e-09;5.732e-09;-3.335e-11;2.638e-04;-1.304e-09;1.516e+00;2.326e-09;-2.829e-10;-1.622e-09;6.660e-01;9.000e-05
30.054735000;6.274e-09;1.954e-09;-4.448e-09;6.239e-09;2.728e-10;2.638e-04;-9.708e-10;1.516e+00;2.094e-09;-5.609e-10;-1.419e-09;6.660e-01;9.000e-05
30.055196000;6.300e-09;2.005e-09;-4.435e-09;6.465e-09;4.423e-10;2.645e-04;-8.261e-10;1.512e+00;1.972e-09;-6.980e-10;-1.312e-09;6.660e-01;9.000e-05
30.055657000;6.305e-09;2.075e-09;-4.411e-09;6.670e-09;6.189e-10;2.645e-04;-6.985e-10;1.512e+00;1.848e-09;-8.356e-10;-1.203e-09;6.660e-01;9.000e-05
30.056118000;6.284e-09;2.167e-09;-4.374e-09;6.853e-09;7.998e-10;2.652e-04;-5.912e-10;1.508e+00;1.723e-09;-9.745e-10;-1.096e-09;6.660e-01;9.000e-05
30.057039000;6.156e-09;2.420e-09;-4.261e-09;7.149e-09;1.169e-09;2.652e-04;-4.478e-10;1.508e+00;1.474e-09;-1.257e-09;-8.968e-10;6.660e-01;9.000e-05
30.057500000;6.046e-09;2.578e-09;-4.186e-09;7.260e-09;1.356e-09;2.659e-04;-4.135e-10;1.504e+00;1.349e-09;-1.400e-09;-8.102e-10;6.660e-01;9.000e-05
30.058422000;5.733e-09;2.947e-09;-4.006e-09;7.401e-09;1.745e-09;2.659e-04;-4.146e-10;1.504e+00;1.096e-09;-1.682e-09;-6.725e-10;6.660e-01;9.000e-05
30.058882000;5.537e-09;3.148e-09;-3.908e-09;7.431e-09;1.950e-09;2.673e-04;-4.467e-10;1.496e+00;9.654e-10;-1.821e-09;-6.229e-10;6.660e-01;9.000e-05
30.060249000;2.306e-09;3.981e-09;-3.070e-09;6.076e-09;4.816e-09;2.673e-04;-1.053e-09;1.496e+00;-9.076e-11;-2.680e-09;-5.877e-10;6.660e-01;9.000e-05
