time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
30.003153000;3.057e-02;-2.000e-02;1.432e-03;-6.543e-01;4.683e-02;3.537e-02;-5.485e-01;3.311e-01;3.057e-02;-1.200e-02;8.590e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.764e+01;4.764e+01
30.003584000;3.066e-02;-2.022e-02;1.760e-03;-6.595e-01;5.741e-02;3.574e-02;-5.488e-01;3.422e-01;3.066e-02;-1.213e-02;1.056e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.764e+01;4.764e+01
30.004576000;3.092e-02;-2.084e-02;2.725e-03;-6.739e-01;8.812e-02;3.681e-02;-5.495e-01;3.744e-01;3.092e-02;-1.250e-02;1.635e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.762e+01;4.762e+01
30.004960000;3.104e-02;-2.106e-02;3.158e-03;-6.785e-01;1.017e-01;3.726e-02;-5.486e-01;3.872e-01;3.104e-02;-1.264e-02;1.895e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.762e+01;4.762e+01
30.009013000;3.235e-02;-2.278e-02;7.918e-03;-7.040e-01;2.447e-01;4.190e-02;-5.278e-01;5.086e-01;3.235e-02;-1.367e-02;4.751e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.778e+01;4.778e+01
30.010744000;3.282e-02;-2.354e-02;9.737e-03;-7.173e-01;2.967e-01;4.362e-02;-5.240e-01;5.569e-01;3.282e-02;-1.413e-02;5.842e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.784e+01;4.784e+01
30.012280000;3.319e-02;-2.423e-02;1.123e-02;-7.300e-01;3.385e-01;4.502e-02;-5.226e-01;5.974e-01;3.319e-02;-1.454e-02;6.740e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.790e+01;4.790e+01
30.013304000;3.342e-02;-2.469e-02;1.217e-02;-7.389e-01;3.642e-01;4.590e-02;-5.224e-01;6.231e-01;3.342e-02;-1.482e-02;7.302e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.794e+01;4.794e+01
30.016888000;3.409e-02;-2.629e-02;1.508e-02;-7.713e-01;4.424e-01;4.859e-02;-5.256e-01;7.051e-01;3.409e-02;-1.578e-02;9.049e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.807e+01;4.807e+01
30.017144000;3.413e-02;-2.640e-02;1.527e-02;-7.737e-01;4.474e-01;4.876e-02;-5.260e-01;7.105e-01;3.413e-02;-1.584e-02;9.161e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.808e+01;4.808e+01
30.017656000;3.421e-02;-2.663e-02;1.563e-02;-7.784e-01;4.570e-01;4.910e-02;-5.268e-01;7.211e-01;3.421e-02;-1.598e-02;9.380e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.809e+01;4.809e+01
30.017912000;3.425e-02;-2.674e-02;1.581e-02;-7.808e-01;4.617e-01;4.926e-02;-5.273e-01;7.263e-01;3.425e-02;-1.604e-02;9.487e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.810e+01;4.810e+01
30.018168000;3.429e-02;-2.685e-02;1.599e-02;-7.832e-01;4.663e-01;4.942e-02;-5.278e-01;7.314e-01;3.429e-02;-1.611e-02;9.592e-03;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.811e+01;4.811e+01
30.022008000;3.477e-02;-2.847e-02;1.831e-02;-8.187e-01;5.265e-01;5.156e-02;-5.364e-01;8.014e-01;3.477e-02;-1.708e-02;1.099e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.824e+01;4.824e+01
30.024312000;3.500e-02;-2.939e-02;1.944e-02;-8.396e-01;5.556e-01;5.262e-02;-5.427e-01;8.376e-01;3.500e-02;-1.763e-02;1.167e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.831e+01;4.831e+01
30.027128000;3.521e-02;-3.044e-02;2.059e-02;-8.645e-01;5.848e-01;5.371e-02;-5.509e-01;8.764e-01;3.521e-02;-1.826e-02;1.235e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.839e+01;4.839e+01
30.030274000;3.538e-02;-3.154e-02;2.160e-02;-8.913e-01;6.105e-01;5.470e-02;-5.605e-01;9.135e-01;3.538e-02;-1.892e-02;1.296e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.848e+01;4.848e+01
30.030530000;3.540e-02;-3.162e-02;2.167e-02;-8.933e-01;6.123e-01;5.477e-02;-5.613e-01;9.163e-01;3.540e-02;-1.897e-02;1.300e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.849e+01;4.849e+01
30.031042000;3.542e-02;-3.179e-02;2.181e-02;-8.975e-01;6.158e-01;5.491e-02;-5.629e-01;9.217e-01;3.542e-02;-1.907e-02;1.309e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.850e+01;4.850e+01
30.031554000;3.544e-02;-3.195e-02;2.194e-02;-9.017e-01;6.191e-01;5.504e-02;-5.645e-01;9.269e-01;3.544e-02;-1.917e-02;1.316e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.851e+01;4.851e+01
30.032066000;3.546e-02;-3.212e-02;2.206e-02;-9.059e-01;6.223e-01;5.517e-02;-5.661e-01;9.320e-01;3.546e-02;-1.927e-02;1.324e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.853e+01;4.853e+01
30.032578000;3.547e-02;-3.228e-02;2.218e-02;-9.099e-01;6.253e-01;5.529e-02;-5.677e-01;9.370e-01;3.547e-02;-1.937e-02;1.331e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.854e+01;4.854e+01
30.036930000;3.557e-02;-3.355e-02;2.296e-02;-9.431e-01;6.455e-01;5.615e-02;-5.811e-01;9.742e-01;3.557e-02;-2.013e-02;1.378e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.865e+01;4.865e+01
30.039285000;3.559e-02;-3.416e-02;2.324e-02;-9.598e-01;6.529e-01;5.650e-02;-5.882e-01;9.907e-01;3.559e-02;-2.050e-02;1.394e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.870e+01;4.870e+01
30.040206000;3.560e-02;-3.439e-02;2.332e-02;-9.661e-01;6.551e-01;5.661e-02;-5.909e-01;9.967e-01;3.560e-02;-2.063e-02;1.399e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.873e+01;4.873e+01
30.041128000;3.560e-02;-3.461e-02;2.339e-02;-9.723e-01;6.572e-01;5.672e-02;-5.937e-01;1.002e+00;3.560e-02;-2.077e-02;1.404e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.875e+01;4.875e+01
30.041589000;3.560e-02;-3.472e-02;2.342e-02;-9.754e-01;6.580e-01;5.677e-02;-5.950e-01;1.005e+00;3.560e-02;-2.083e-02;1.405e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.876e+01;4.876e+01
30.043432000;3.559e-02;-3.513e-02;2.352e-02;-9.872e-01;6.609e-01;5.694e-02;-6.003e-01;1.015e+00;3.559e-02;-2.108e-02;1.411e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.880e+01;4.880e+01
30.044354000;3.558e-02;-3.533e-02;2.355e-02;-9.930e-01;6.619e-01;5.702e-02;-6.030e-01;1.020e+00;3.558e-02;-2.120e-02;1.413e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.881e+01;4.881e+01
30.048501000;3.552e-02;-3.614e-02;2.358e-02;-1.017e+00;6.639e-01;5.726e-02;-6.144e-01;1.038e+00;3.552e-02;-2.168e-02;1.415e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.890e+01;4.890e+01
30.049422000;3.550e-02;-3.630e-02;2.357e-02;-1.022e+00;6.637e-01;5.729e-02;-6.168e-01;1.041e+00;3.550e-02;-2.178e-02;1.414e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.892e+01;4.892e+01
30.049883000;3.549e-02;-3.638e-02;2.355e-02;-1.025e+00;6.636e-01;5.731e-02;-6.180e-01;1.043e+00;3.549e-02;-2.183e-02;1.413e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.892e+01;4.892e+01
30.050344000;3.548e-02;-3.646e-02;2.354e-02;-1.028e+00;6.634e-01;5.732e-02;-6.192e-01;1.044e+00;3.548e-02;-2.188e-02;1.413e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.893e+01;4.893e+01
30.053109000;3.542e-02;-3.690e-02;2.344e-02;-1.042e+00;6.617e-01;5.737e-02;-6.262e-01;1.053e+00;3.542e-02;-2.214e-02;1.406e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.898e+01;4.898e+01
30.054491000;3.539e-02;-3.711e-02;2.337e-02;-1.049e+00;6.603e-01;5.738e-02;-6.296e-01;1.057e+00;3.539e-02;-2.226e-02;1.402e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.901e+01;4.901e+01
30.057256000;3.531e-02;-3.748e-02;2.319e-02;-1.062e+00;6.567e-01;5.737e-02;-6.362e-01;1.063e+00;3.531e-02;-2.249e-02;1.391e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.905e+01;4.905e+01
30.059099000;3.526e-02;-3.771e-02;2.305e-02;-1.070e+00;6.539e-01;5.735e-02;-6.404e-01;1.067e+00;3.526e-02;-2.263e-02;1.383e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.908e+01;4.908e+01
30.060021000;3.523e-02;-3.782e-02;2.298e-02;-1.074e+00;6.523e-01;5.733e-02;-6.424e-01;1.069e+00;3.523e-02;-2.269e-02;1.379e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.910e+01;4.910e+01
30.062577000;3.515e-02;-3.810e-02;2.276e-02;-1.084e+00;6.475e-01;5.727e-02;-6.480e-01;1.073e+00;3.515e-02;-2.286e-02;1.366e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.914e+01;4.914e+01
30.071281000;3.485e-02;-3.885e-02;2.189e-02;-1.115e+00;6.280e-01;5.693e-02;-6.650e-01;1.082e+00;3.485e-02;-2.331e-02;1.313e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.926e+01;4.926e+01
30.072305000;3.482e-02;-3.893e-02;2.178e-02;-1.118e+00;6.256e-01;5.688e-02;-6.668e-01;1.082e+00;3.482e-02;-2.336e-02;1.307e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.927e+01;4.927e+01
30.072817000;3.480e-02;-3.896e-02;2.173e-02;-1.120e+00;6.243e-01;5.686e-02;-6.677e-01;1.083e+00;3.480e-02;-2.338e-02;1.304e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.928e+01;4.928e+01
30.084994000;3.439e-02;-3.959e-02;2.040e-02;-1.151e+00;5.931e-01;5.620e-02;-6.867e-01;1.086e+00;3.439e-02;-2.376e-02;1.224e-02;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.942e+01;4.942e+01
30.084994000;1.136e+00;-1.361e+00;5.650e-01;-1.197e+00;4.971e-01;1.149e+00;-1.168e+00;5.348e-01;1.136e+00;-8.163e-01;3.390e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;1.428e+02;1.428e+02
30.084995000;1.137e+00;-1.360e+00;5.657e-01;-1.197e+00;4.977e-01;1.149e+00;-1.168e+00;5.354e-01;1.137e+00;-8.162e-01;3.394e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;1.427e+02;1.427e+02
30.084996000;1.137e+00;-1.360e+00;5.665e-01;-1.197e+00;4.984e-01;1.149e+00;-1.168e+00;5.360e-01;1.137e+00;-8.162e-01;3.399e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;1.427e+02;1.427e+02
30.086217000;1.257e+00;-1.143e+00;1.152e+00;-9.093e-01;9.165e-01;1.280e+00;-8.772e-01;9.398e-01;1.257e+00;-6.859e-01;6.913e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;8.477e+01;8.477e+01
30.086477000;1.268e+00;-1.104e+00;1.208e+00;-8.705e-01;9.527e-01;1.292e+00;-8.387e-01;9.746e-01;1.268e+00;-6.623e-01;7.249e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;7.743e+01;7.743e+01
30.086592000;1.272e+00;-1.088e+00;1.229e+00;-8.557e-01;9.658e-01;1.296e+00;-8.240e-01;9.871e-01;1.272e+00;-6.531e-01;7.372e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;7.465e+01;7.465e+01
30.086649000;1.274e+00;-1.081e+00;1.238e+00;-8.488e-01;9.718e-01;1.298e+00;-8.171e-01;9.929e-01;1.274e+00;-6.488e-01;7.428e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;7.337e+01;7.337e+01
30.086707000;1.276e+00;-1.074e+00;1.247e+00;-8.422e-01;9.774e-01;1.300e+00;-8.106e-01;9.982e-01;1.276e+00;-6.446e-01;7.480e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;7.214e+01;7.214e+01
30.086793000;1.278e+00;-1.064e+00;1.259e+00;-8.330e-01;9.851e-01;1.302e+00;-8.015e-01;1.006e+00;1.278e+00;-6.387e-01;7.553e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;7.042e+01;7.042e+01
30.086909000;1.281e+00;-1.052e+00;1.274e+00;-8.217e-01;9.944e-01;1.305e+00;-7.903e-01;1.015e+00;1.281e+00;-6.314e-01;7.642e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;6.832e+01;6.832e+01
30.087657000;1.293e+00;-9.967e-01;1.336e+00;-7.709e-01;1.034e+00;1.318e+00;-7.401e-01;1.052e+00;1.293e+00;-5.980e-01;8.019e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.898e+01;5.898e+01
30.087715000;1.293e+00;-9.937e-01;1.340e+00;-7.683e-01;1.036e+00;1.319e+00;-7.375e-01;1.054e+00;1.293e+00;-5.962e-01;8.038e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.849e+01;5.849e+01
30.087945000;1.295e+00;-9.833e-01;1.351e+00;-7.590e-01;1.043e+00;1.321e+00;-7.283e-01;1.061e+00;1.295e+00;-5.900e-01;8.103e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.681e+01;5.681e+01
30.088496000;1.299e+00;-9.659e-01;1.369e+00;-7.436e-01;1.054e+00;1.325e+00;-7.131e-01;1.072e+00;1.299e+00;-5.795e-01;8.212e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.400e+01;5.400e+01
30.088784000;1.300e+00;-9.598e-01;1.375e+00;-7.382e-01;1.058e+00;1.326e+00;-7.078e-01;1.075e+00;1.300e+00;-5.759e-01;8.250e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.303e+01;5.303e+01
30.088957000;1.301e+00;-9.568e-01;1.378e+00;-7.357e-01;1.059e+00;1.327e+00;-7.053e-01;1.077e+00;1.301e+00;-5.741e-01;8.268e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.256e+01;5.256e+01
30.089014000;1.301e+00;-9.560e-01;1.379e+00;-7.349e-01;1.060e+00;1.327e+00;-7.045e-01;1.078e+00;1.301e+00;-5.736e-01;8.273e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.242e+01;5.242e+01
30.089763000;1.302e+00;-9.481e-01;1.387e+00;-7.280e-01;1.065e+00;1.329e+00;-6.977e-01;1.083e+00;1.302e+00;-5.689e-01;8.324e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.117e+01;5.117e+01
30.089878000;1.303e+00;-9.473e-01;1.388e+00;-7.273e-01;1.066e+00;1.329e+00;-6.970e-01;1.083e+00;1.303e+00;-5.684e-01;8.329e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.105e+01;5.105e+01
30.090291000;1.303e+00;-9.452e-01;1.391e+00;-7.254e-01;1.067e+00;1.329e+00;-6.951e-01;1.085e+00;1.303e+00;-5.671e-01;8.344e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.070e+01;5.070e+01
30.090376000;1.303e+00;-9.449e-01;1.391e+00;-7.251e-01;1.068e+00;1.329e+00;-6.948e-01;1.085e+00;1.303e+00;-5.669e-01;8.346e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.064e+01;5.064e+01
30.090536000;1.303e+00;-9.446e-01;1.392e+00;-7.249e-01;1.068e+00;1.329e+00;-6.946e-01;1.085e+00;1.303e+00;-5.667e-01;8.349e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.054e+01;5.054e+01
30.090600000;1.303e+00;-9.446e-01;1.392e+00;-7.249e-01;1.068e+00;1.329e+00;-6.946e-01;1.085e+00;1.303e+00;-5.668e-01;8.349e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.050e+01;5.050e+01
30.090664000;1.303e+00;-9.447e-01;1.392e+00;-7.249e-01;1.068e+00;1.329e+00;-6.946e-01;1.085e+00;1.303e+00;-5.668e-01;8.349e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.046e+01;5.046e+01
30.090792000;1.303e+00;-9.450e-01;1.391e+00;-7.252e-01;1.068e+00;1.329e+00;-6.950e-01;1.085e+00;1.303e+00;-5.670e-01;8.347e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.037e+01;5.037e+01
30.091631000;1.301e+00;-9.528e-01;1.382e+00;-7.321e-01;1.062e+00;1.327e+00;-7.018e-01;1.080e+00;1.301e+00;-5.717e-01;8.293e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.989e+01;4.989e+01
30.091871000;1.301e+00;-9.559e-01;1.377e+00;-7.350e-01;1.059e+00;1.327e+00;-7.046e-01;1.077e+00;1.301e+00;-5.736e-01;8.264e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.979e+01;4.979e+01
30.092330000;1.298e+00;-9.611e-01;1.365e+00;-7.402e-01;1.052e+00;1.324e+00;-7.097e-01;1.069e+00;1.298e+00;-5.767e-01;8.192e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.968e+01;4.968e+01
30.092840000;1.296e+00;-9.655e-01;1.349e+00;-7.452e-01;1.041e+00;1.321e+00;-7.148e-01;1.059e+00;1.296e+00;-5.793e-01;8.092e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.964e+01;4.964e+01
30.093352000;1.292e+00;-9.684e-01;1.329e+00;-7.494e-01;1.028e+00;1.318e+00;-7.190e-01;1.046e+00;1.292e+00;-5.811e-01;7.972e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.965e+01;4.965e+01
30.093480000;1.291e+00;-9.690e-01;1.323e+00;-7.503e-01;1.025e+00;1.317e+00;-7.200e-01;1.043e+00;1.291e+00;-5.814e-01;7.940e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.966e+01;4.966e+01
30.093864000;1.289e+00;-9.700e-01;1.306e+00;-7.528e-01;1.013e+00;1.313e+00;-7.225e-01;1.032e+00;1.289e+00;-5.820e-01;7.836e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.968e+01;4.968e+01
30.094248000;1.286e+00;-9.704e-01;1.287e+00;-7.549e-01;1.001e+00;1.310e+00;-7.247e-01;1.020e+00;1.286e+00;-5.822e-01;7.724e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.971e+01;4.971e+01
30.094376000;1.284e+00;-9.704e-01;1.281e+00;-7.555e-01;9.971e-01;1.309e+00;-7.253e-01;1.015e+00;1.284e+00;-5.822e-01;7.685e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.973e+01;4.973e+01
30.094504000;1.283e+00;-9.703e-01;1.274e+00;-7.560e-01;9.928e-01;1.308e+00;-7.259e-01;1.011e+00;1.283e+00;-5.822e-01;7.645e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.974e+01;4.974e+01
30.094632000;1.282e+00;-9.701e-01;1.267e+00;-7.566e-01;9.884e-01;1.307e+00;-7.265e-01;1.007e+00;1.282e+00;-5.821e-01;7.604e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.975e+01;4.975e+01
30.095528000;1.274e+00;-9.671e-01;1.217e+00;-7.591e-01;9.551e-01;1.297e+00;-7.294e-01;9.736e-01;1.274e+00;-5.803e-01;7.301e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.983e+01;4.983e+01
30.095831000;1.271e+00;-9.654e-01;1.199e+00;-7.596e-01;9.431e-01;1.294e+00;-7.300e-01;9.616e-01;1.271e+00;-5.793e-01;7.192e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.986e+01;4.986e+01
30.095832000;1.271e+00;-9.654e-01;1.199e+00;-7.596e-01;9.430e-01;1.294e+00;-7.300e-01;9.615e-01;1.271e+00;-5.793e-01;7.192e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.986e+01;4.986e+01
30.095839000;1.271e+00;-9.654e-01;1.198e+00;-7.596e-01;9.428e-01;1.294e+00;-7.300e-01;9.612e-01;1.271e+00;-5.792e-01;7.189e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.986e+01;4.986e+01
30.096087000;1.268e+00;-9.638e-01;1.183e+00;-7.598e-01;9.326e-01;1.291e+00;-7.304e-01;9.511e-01;1.268e+00;-5.783e-01;7.098e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.988e+01;4.988e+01
30.096932000;1.260e+00;-9.571e-01;1.129e+00;-7.599e-01;8.963e-01;1.282e+00;-7.309e-01;9.149e-01;1.260e+00;-5.743e-01;6.774e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.995e+01;4.995e+01
30.098083000;1.247e+00;-9.455e-01;1.052e+00;-7.584e-01;8.440e-01;1.267e+00;-7.300e-01;8.626e-01;1.247e+00;-5.673e-01;6.313e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.002e+01;5.002e+01
30.101411000;1.211e+00;-9.053e-01;8.449e-01;-7.474e-01;6.975e-01;1.228e+00;-7.210e-01;7.162e-01;1.211e+00;-5.432e-01;5.069e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.013e+01;5.013e+01
30.105248000;1.173e+00;-8.554e-01;6.293e-01;-7.295e-01;5.367e-01;1.186e+00;-7.054e-01;5.552e-01;1.173e+00;-5.132e-01;3.776e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.018e+01;5.018e+01
30.106528000;1.160e+00;-8.390e-01;5.621e-01;-7.233e-01;4.845e-01;1.172e+00;-6.999e-01;5.030e-01;1.160e+00;-5.034e-01;3.372e-01;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.018e+01;5.018e+01
