time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_VoltageSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
30.001494000;3.038e-02;1.949e-02;7.583e-04;6.414e-01;2.496e-02;3.524e-02;5.701e-01;3.289e-01;3.038e-02;1.169e-02;4.550e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.249e+01;5.249e+01
30.001622000;3.039e-02;1.951e-02;7.717e-04;6.421e-01;2.539e-02;3.526e-02;5.704e-01;3.297e-01;3.039e-02;1.171e-02;4.630e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.249e+01;5.249e+01
30.001814000;3.039e-02;1.955e-02;8.017e-04;6.433e-01;2.637e-02;3.530e-02;5.709e-01;3.313e-01;3.039e-02;1.173e-02;4.810e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.248e+01;5.248e+01
30.002006000;3.041e-02;1.960e-02;8.483e-04;6.445e-01;2.790e-02;3.536e-02;5.713e-01;3.333e-01;3.041e-02;1.176e-02;5.090e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.248e+01;5.248e+01
30.002070000;3.041e-02;1.962e-02;8.667e-04;6.450e-01;2.850e-02;3.538e-02;5.715e-01;3.341e-01;3.041e-02;1.177e-02;5.200e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.248e+01;5.248e+01
30.003158000;3.056e-02;2.002e-02;1.400e-03;6.552e-01;4.582e-02;3.600e-02;5.731e-01;3.534e-01;3.056e-02;1.201e-02;8.400e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.247e+01;5.247e+01
30.003328000;3.059e-02;2.010e-02;1.518e-03;6.570e-01;4.963e-02;3.614e-02;5.732e-01;3.574e-01;3.059e-02;1.206e-02;9.110e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.246e+01;5.246e+01
30.003584000;3.064e-02;2.022e-02;1.712e-03;6.599e-01;5.586e-02;3.635e-02;5.732e-01;3.637e-01;3.064e-02;1.213e-02;1.027e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.246e+01;5.246e+01
30.004528000;3.089e-02;2.072e-02;2.582e-03;6.709e-01;8.359e-02;3.729e-02;5.724e-01;3.906e-01;3.089e-02;1.243e-02;1.549e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.246e+01;5.246e+01
30.005063000;3.105e-02;2.100e-02;3.170e-03;6.764e-01;1.021e-01;3.791e-02;5.707e-01;4.072e-01;3.105e-02;1.260e-02;1.902e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.245e+01;5.245e+01
30.009013000;3.231e-02;2.252e-02;7.700e-03;6.972e-01;2.383e-01;4.226e-02;5.489e-01;5.176e-01;3.231e-02;1.351e-02;4.620e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.225e+01;5.225e+01
30.010500000;3.271e-02;2.313e-02;9.238e-03;7.074e-01;2.825e-01;4.370e-02;5.451e-01;5.572e-01;3.271e-02;1.388e-02;5.543e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.218e+01;5.218e+01
30.011268000;3.290e-02;2.346e-02;9.995e-03;7.130e-01;3.038e-01;4.441e-02;5.438e-01;5.769e-01;3.290e-02;1.407e-02;5.997e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.215e+01;5.215e+01
30.011524000;3.296e-02;2.356e-02;1.024e-02;7.149e-01;3.107e-01;4.464e-02;5.435e-01;5.834e-01;3.296e-02;1.414e-02;6.145e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.213e+01;5.213e+01
30.013572000;3.342e-02;2.443e-02;1.211e-02;7.311e-01;3.624e-01;4.638e-02;5.423e-01;6.333e-01;3.342e-02;1.466e-02;7.265e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.204e+01;5.204e+01
30.016900000;3.403e-02;2.583e-02;1.476e-02;7.591e-01;4.336e-01;4.882e-02;5.448e-01;7.064e-01;3.403e-02;1.550e-02;8.854e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.190e+01;5.190e+01
30.017156000;3.407e-02;2.594e-02;1.494e-02;7.613e-01;4.385e-01;4.898e-02;5.451e-01;7.116e-01;3.407e-02;1.556e-02;8.965e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.189e+01;5.189e+01
30.017924000;3.419e-02;2.626e-02;1.548e-02;7.679e-01;4.527e-01;4.948e-02;5.463e-01;7.269e-01;3.419e-02;1.576e-02;9.288e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.186e+01;5.186e+01
30.018180000;3.423e-02;2.636e-02;1.566e-02;7.702e-01;4.573e-01;4.964e-02;5.467e-01;7.319e-01;3.423e-02;1.582e-02;9.393e-03;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.185e+01;5.185e+01
30.022788000;3.481e-02;2.820e-02;1.837e-02;8.101e-01;5.277e-01;5.214e-02;5.565e-01;8.121e-01;3.481e-02;1.692e-02;1.102e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.168e+01;5.168e+01
30.024580000;3.498e-02;2.887e-02;1.922e-02;8.253e-01;5.496e-01;5.293e-02;5.611e-01;8.388e-01;3.498e-02;1.732e-02;1.153e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.162e+01;5.162e+01
30.028215000;3.525e-02;3.014e-02;2.066e-02;8.552e-01;5.861e-01;5.429e-02;5.712e-01;8.863e-01;3.525e-02;1.809e-02;1.239e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.151e+01;5.151e+01
30.028727000;3.528e-02;3.031e-02;2.083e-02;8.593e-01;5.904e-01;5.445e-02;5.726e-01;8.923e-01;3.528e-02;1.819e-02;1.250e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.149e+01;5.149e+01
30.030775000;3.539e-02;3.097e-02;2.145e-02;8.753e-01;6.061e-01;5.506e-02;5.785e-01;9.147e-01;3.539e-02;1.858e-02;1.287e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.143e+01;5.143e+01
30.031543000;3.542e-02;3.121e-02;2.166e-02;8.811e-01;6.114e-01;5.527e-02;5.808e-01;9.225e-01;3.542e-02;1.872e-02;1.299e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.141e+01;5.141e+01
30.031799000;3.543e-02;3.129e-02;2.172e-02;8.830e-01;6.131e-01;5.534e-02;5.815e-01;9.251e-01;3.543e-02;1.877e-02;1.303e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.140e+01;5.140e+01
30.032567000;3.546e-02;3.152e-02;2.191e-02;8.888e-01;6.179e-01;5.553e-02;5.837e-01;9.325e-01;3.546e-02;1.891e-02;1.315e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.138e+01;5.138e+01
30.038353000;3.560e-02;3.309e-02;2.295e-02;9.293e-01;6.447e-01;5.666e-02;6.003e-01;9.794e-01;3.560e-02;1.985e-02;1.377e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.123e+01;5.123e+01
30.039735000;3.562e-02;3.342e-02;2.312e-02;9.383e-01;6.490e-01;5.686e-02;6.042e-01;9.885e-01;3.562e-02;2.005e-02;1.387e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.120e+01;5.120e+01
30.040196000;3.562e-02;3.353e-02;2.316e-02;9.412e-01;6.503e-01;5.693e-02;6.054e-01;9.914e-01;3.562e-02;2.012e-02;1.390e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.119e+01;5.119e+01
30.041118000;3.563e-02;3.374e-02;2.325e-02;9.469e-01;6.526e-01;5.704e-02;6.079e-01;9.970e-01;3.563e-02;2.024e-02;1.395e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.117e+01;5.117e+01
30.041578000;3.563e-02;3.384e-02;2.329e-02;9.498e-01;6.537e-01;5.710e-02;6.092e-01;9.996e-01;3.563e-02;2.030e-02;1.397e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.116e+01;5.116e+01
30.043422000;3.563e-02;3.424e-02;2.342e-02;9.608e-01;6.572e-01;5.729e-02;6.142e-01;1.010e+00;3.563e-02;2.054e-02;1.405e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.112e+01;5.112e+01
30.047108000;3.561e-02;3.495e-02;2.356e-02;9.815e-01;6.616e-01;5.758e-02;6.237e-01;1.027e+00;3.561e-02;2.097e-02;1.413e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.104e+01;5.104e+01
30.049412000;3.558e-02;3.535e-02;2.358e-02;9.935e-01;6.626e-01;5.771e-02;6.294e-01;1.036e+00;3.558e-02;2.121e-02;1.415e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.100e+01;5.100e+01
30.049873000;3.558e-02;3.543e-02;2.358e-02;9.958e-01;6.627e-01;5.773e-02;6.305e-01;1.037e+00;3.558e-02;2.126e-02;1.415e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.099e+01;5.099e+01
30.050794000;3.556e-02;3.558e-02;2.357e-02;1.000e+00;6.628e-01;5.777e-02;6.327e-01;1.040e+00;3.556e-02;2.134e-02;1.414e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.097e+01;5.097e+01
30.051255000;3.556e-02;3.565e-02;2.356e-02;1.003e+00;6.627e-01;5.778e-02;6.338e-01;1.042e+00;3.556e-02;2.139e-02;1.414e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.097e+01;5.097e+01
30.051716000;3.555e-02;3.572e-02;2.355e-02;1.005e+00;6.626e-01;5.780e-02;6.349e-01;1.043e+00;3.555e-02;2.143e-02;1.413e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.096e+01;5.096e+01
30.055402000;3.548e-02;3.624e-02;2.344e-02;1.022e+00;6.608e-01;5.788e-02;6.432e-01;1.054e+00;3.548e-02;2.175e-02;1.407e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.089e+01;5.089e+01
30.055863000;3.547e-02;3.631e-02;2.343e-02;1.024e+00;6.605e-01;5.788e-02;6.442e-01;1.055e+00;3.547e-02;2.178e-02;1.405e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.089e+01;5.089e+01
30.057706000;3.543e-02;3.654e-02;2.334e-02;1.031e+00;6.587e-01;5.789e-02;6.482e-01;1.059e+00;3.543e-02;2.192e-02;1.400e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.086e+01;5.086e+01
30.060010000;3.537e-02;3.680e-02;2.320e-02;1.041e+00;6.560e-01;5.788e-02;6.529e-01;1.063e+00;3.537e-02;2.208e-02;1.392e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.082e+01;5.082e+01
30.064817000;3.525e-02;3.729e-02;2.287e-02;1.058e+00;6.489e-01;5.781e-02;6.622e-01;1.071e+00;3.525e-02;2.237e-02;1.372e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.075e+01;5.075e+01
30.068913000;3.513e-02;3.764e-02;2.254e-02;1.071e+00;6.417e-01;5.771e-02;6.695e-01;1.075e+00;3.513e-02;2.258e-02;1.353e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.070e+01;5.070e+01
30.071473000;3.506e-02;3.782e-02;2.233e-02;1.079e+00;6.367e-01;5.762e-02;6.738e-01;1.077e+00;3.506e-02;2.269e-02;1.340e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.066e+01;5.066e+01
30.072497000;3.503e-02;3.789e-02;2.224e-02;1.082e+00;6.347e-01;5.758e-02;6.754e-01;1.078e+00;3.503e-02;2.274e-02;1.334e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.065e+01;5.065e+01
30.073521000;3.500e-02;3.796e-02;2.215e-02;1.085e+00;6.327e-01;5.755e-02;6.770e-01;1.078e+00;3.500e-02;2.278e-02;1.329e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.064e+01;5.064e+01
30.078121000;3.487e-02;3.823e-02;2.173e-02;1.096e+00;6.232e-01;5.736e-02;6.839e-01;1.081e+00;3.487e-02;2.294e-02;1.304e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.059e+01;5.059e+01
30.080821000;3.479e-02;3.836e-02;2.148e-02;1.103e+00;6.174e-01;5.725e-02;6.876e-01;1.081e+00;3.479e-02;2.302e-02;1.289e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.056e+01;5.056e+01
30.084994000;3.468e-02;3.854e-02;2.111e-02;1.111e+00;6.086e-01;5.707e-02;6.930e-01;1.082e+00;3.468e-02;2.313e-02;1.266e-02;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.051e+01;5.051e+01
30.084994000;1.144e+00;1.324e+00;5.918e-01;1.157e+00;5.172e-01;1.158e+00;1.159e+00;5.539e-01;1.144e+00;7.941e-01;3.551e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;-4.109e+01;-4.109e+01
30.084995000;1.144e+00;1.323e+00;5.926e-01;1.157e+00;5.178e-01;1.158e+00;1.159e+00;5.545e-01;1.144e+00;7.941e-01;3.555e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;-4.103e+01;-4.103e+01
30.084996000;1.145e+00;1.323e+00;5.933e-01;1.156e+00;5.184e-01;1.158e+00;1.159e+00;5.551e-01;1.145e+00;7.940e-01;3.560e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;-4.098e+01;-4.098e+01
30.086222000;1.261e+00;1.098e+00;1.164e+00;8.709e-01;9.231e-01;1.284e+00;8.712e-01;9.458e-01;1.261e+00;6.588e-01;6.984e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;1.642e+01;1.642e+01
30.086574000;1.274e+00;1.047e+00;1.234e+00;8.215e-01;9.681e-01;1.299e+00;8.222e-01;9.890e-01;1.274e+00;6.281e-01;7.402e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;2.573e+01;2.573e+01
30.086638000;1.276e+00;1.039e+00;1.244e+00;8.140e-01;9.745e-01;1.301e+00;8.147e-01;9.952e-01;1.276e+00;6.233e-01;7.463e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;2.714e+01;2.714e+01
30.086670000;1.277e+00;1.035e+00;1.249e+00;8.104e-01;9.776e-01;1.302e+00;8.111e-01;9.981e-01;1.277e+00;6.210e-01;7.492e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;2.781e+01;2.781e+01
30.086702000;1.278e+00;1.031e+00;1.253e+00;8.069e-01;9.806e-01;1.303e+00;8.077e-01;1.001e+00;1.278e+00;6.187e-01;7.520e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;2.847e+01;2.847e+01
30.086798000;1.281e+00;1.020e+00;1.266e+00;7.969e-01;9.889e-01;1.305e+00;7.978e-01;1.009e+00;1.281e+00;6.123e-01;7.598e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;3.033e+01;3.033e+01
30.086862000;1.282e+00;1.014e+00;1.274e+00;7.907e-01;9.940e-01;1.307e+00;7.916e-01;1.014e+00;1.282e+00;6.082e-01;7.646e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;3.148e+01;3.148e+01
30.087662000;1.295e+00;9.542e-01;1.341e+00;7.370e-01;1.036e+00;1.321e+00;7.386e-01;1.054e+00;1.295e+00;5.725e-01;8.044e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.137e+01;4.137e+01
30.087726000;1.295e+00;9.510e-01;1.344e+00;7.342e-01;1.038e+00;1.321e+00;7.358e-01;1.056e+00;1.295e+00;5.706e-01;8.065e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.189e+01;4.189e+01
30.087758000;1.296e+00;9.495e-01;1.346e+00;7.328e-01;1.039e+00;1.322e+00;7.345e-01;1.057e+00;1.296e+00;5.697e-01;8.074e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.213e+01;4.213e+01
30.087982000;1.297e+00;9.400e-01;1.356e+00;7.245e-01;1.045e+00;1.324e+00;7.262e-01;1.063e+00;1.297e+00;5.640e-01;8.133e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.366e+01;4.366e+01
30.088142000;1.299e+00;9.343e-01;1.361e+00;7.195e-01;1.048e+00;1.325e+00;7.213e-01;1.066e+00;1.299e+00;5.606e-01;8.168e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.457e+01;4.457e+01
30.088206000;1.299e+00;9.323e-01;1.363e+00;7.177e-01;1.050e+00;1.325e+00;7.195e-01;1.067e+00;1.299e+00;5.594e-01;8.181e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.489e+01;4.489e+01
30.088882000;1.302e+00;9.168e-01;1.379e+00;7.042e-01;1.059e+00;1.328e+00;7.062e-01;1.077e+00;1.302e+00;5.501e-01;8.276e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.735e+01;4.735e+01
30.089112000;1.303e+00;9.134e-01;1.383e+00;7.012e-01;1.062e+00;1.329e+00;7.033e-01;1.079e+00;1.303e+00;5.480e-01;8.297e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.788e+01;4.788e+01
30.089227000;1.303e+00;9.120e-01;1.384e+00;7.000e-01;1.062e+00;1.329e+00;7.020e-01;1.080e+00;1.303e+00;5.472e-01;8.306e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.810e+01;4.810e+01
30.089919000;1.304e+00;9.061e-01;1.391e+00;6.949e-01;1.066e+00;1.331e+00;6.970e-01;1.083e+00;1.304e+00;5.437e-01;8.344e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.903e+01;4.903e+01
30.090454000;1.305e+00;9.038e-01;1.393e+00;6.928e-01;1.068e+00;1.331e+00;6.949e-01;1.085e+00;1.305e+00;5.423e-01;8.360e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.943e+01;4.943e+01
30.090582000;1.305e+00;9.037e-01;1.394e+00;6.928e-01;1.068e+00;1.331e+00;6.949e-01;1.085e+00;1.305e+00;5.422e-01;8.361e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.951e+01;4.951e+01
30.090646000;1.305e+00;9.038e-01;1.394e+00;6.928e-01;1.068e+00;1.331e+00;6.950e-01;1.085e+00;1.305e+00;5.423e-01;8.361e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.955e+01;4.955e+01
30.090710000;1.305e+00;9.040e-01;1.393e+00;6.930e-01;1.068e+00;1.331e+00;6.951e-01;1.085e+00;1.305e+00;5.424e-01;8.360e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.960e+01;4.960e+01
30.090774000;1.304e+00;9.042e-01;1.393e+00;6.931e-01;1.068e+00;1.331e+00;6.953e-01;1.085e+00;1.304e+00;5.425e-01;8.359e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.964e+01;4.964e+01
30.090902000;1.304e+00;9.048e-01;1.393e+00;6.937e-01;1.068e+00;1.331e+00;6.958e-01;1.085e+00;1.304e+00;5.429e-01;8.356e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.972e+01;4.972e+01
30.092039000;1.301e+00;9.141e-01;1.375e+00;7.025e-01;1.056e+00;1.328e+00;7.045e-01;1.074e+00;1.301e+00;5.484e-01;8.247e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.018e+01;5.018e+01
30.093152000;1.295e+00;9.228e-01;1.338e+00;7.125e-01;1.033e+00;1.321e+00;7.146e-01;1.051e+00;1.295e+00;5.537e-01;8.029e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.033e+01;5.033e+01
30.093872000;1.290e+00;9.259e-01;1.307e+00;7.178e-01;1.013e+00;1.315e+00;7.200e-01;1.031e+00;1.290e+00;5.555e-01;7.840e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.031e+01;5.031e+01
30.093975000;1.289e+00;9.261e-01;1.302e+00;7.184e-01;1.010e+00;1.314e+00;7.206e-01;1.028e+00;1.289e+00;5.557e-01;7.811e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.031e+01;5.031e+01
30.094181000;1.287e+00;9.264e-01;1.292e+00;7.196e-01;1.003e+00;1.313e+00;7.218e-01;1.021e+00;1.287e+00;5.559e-01;7.750e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.029e+01;5.029e+01
30.094551000;1.284e+00;9.265e-01;1.273e+00;7.214e-01;9.908e-01;1.309e+00;7.237e-01;1.009e+00;1.284e+00;5.559e-01;7.636e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.026e+01;5.026e+01
30.094737000;1.283e+00;9.263e-01;1.263e+00;7.221e-01;9.843e-01;1.307e+00;7.245e-01;1.002e+00;1.283e+00;5.558e-01;7.576e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.025e+01;5.025e+01
30.094922000;1.281e+00;9.260e-01;1.252e+00;7.228e-01;9.777e-01;1.306e+00;7.253e-01;9.956e-01;1.281e+00;5.556e-01;7.515e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.023e+01;5.023e+01
30.095934000;1.271e+00;9.219e-01;1.193e+00;7.252e-01;9.383e-01;1.295e+00;7.280e-01;9.564e-01;1.271e+00;5.532e-01;7.157e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.014e+01;5.014e+01
30.096190000;1.269e+00;9.203e-01;1.177e+00;7.254e-01;9.277e-01;1.292e+00;7.284e-01;9.458e-01;1.269e+00;5.522e-01;7.062e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.012e+01;5.012e+01
30.096446000;1.266e+00;9.186e-01;1.161e+00;7.255e-01;9.168e-01;1.289e+00;7.286e-01;9.350e-01;1.266e+00;5.511e-01;6.964e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.010e+01;5.010e+01
30.096677000;1.264e+00;9.168e-01;1.146e+00;7.256e-01;9.068e-01;1.286e+00;7.287e-01;9.250e-01;1.264e+00;5.501e-01;6.875e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.008e+01;5.008e+01
30.097775000;1.251e+00;9.068e-01;1.073e+00;7.246e-01;8.572e-01;1.273e+00;7.283e-01;8.755e-01;1.251e+00;5.441e-01;6.437e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.001e+01;5.001e+01
30.098031000;1.249e+00;9.041e-01;1.056e+00;7.241e-01;8.455e-01;1.270e+00;7.280e-01;8.638e-01;1.249e+00;5.425e-01;6.334e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.999e+01;4.999e+01
30.101601000;1.211e+00;8.618e-01;8.337e-01;7.119e-01;6.887e-01;1.228e+00;7.178e-01;7.070e-01;1.211e+00;5.171e-01;5.002e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.986e+01;4.986e+01
30.105665000;1.170e+00;8.090e-01;6.060e-01;6.917e-01;5.181e-01;1.183e+00;7.000e-01;5.363e-01;1.170e+00;4.854e-01;3.636e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.981e+01;4.981e+01
30.106177000;1.165e+00;8.025e-01;5.790e-01;6.891e-01;4.972e-01;1.177e+00;6.976e-01;5.154e-01;1.165e+00;4.815e-01;3.474e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.981e+01;4.981e+01
30.107969000;1.147e+00;7.803e-01;4.891e-01;6.800e-01;4.262e-01;1.158e+00;6.895e-01;4.443e-01;1.147e+00;4.682e-01;2.935e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.982e+01;4.982e+01
30.108225000;1.145e+00;7.772e-01;4.768e-01;6.787e-01;4.164e-01;1.156e+00;6.884e-01;4.345e-01;1.145e+00;4.663e-01;2.861e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.982e+01;4.982e+01
30.108481000;1.143e+00;7.741e-01;4.647e-01;6.774e-01;4.067e-01;1.153e+00;6.873e-01;4.247e-01;1.143e+00;4.645e-01;2.788e-01;1.000e+01;6.835e-01;1.880e-02;1.051e+00;4.982e+01;4.982e+01
