time;BusPDR_bus_terminal_V_re;BusPDR_bus_terminal_V_im;AuxLoad_Xfmr_transformer_terminal1_V_re;AuxLoad_Xfmr_transformer_terminal1_V_im;AuxLoad_Xfmr_transformer_terminal1_i_re;AuxLoad_Xfmr_transformer_terminal1_i_im;StepUp_Xfmr_transformer_terminal1_V_re;StepUp_Xfmr_transformer_terminal1_V_im;StepUp_Xfmr_transformer_terminal1_i_re;StepUp_Xfmr_transformer_terminal1_i_im;StepUp_Xfmr_transformer_tap_value;Wind_Turbine_WPP_wT4BCurrentSource_wT4Injector_genSystem_iECFrameRotation_ipCmdPu;Wind_Turbine_WPP_wT4BCurrentSource_wT4Injector_genSystem_iECFrameRotation_iqCmdPu;Wind_Turbine_WPP_UWPRefPu;Wind_Turbine_WPP_wPPControl2015_qControl_UWPPu;Wind_Turbine_WPP_wPPControl2015_qControl_QWPPu;Wind_Turbine_WPP_omegaRefPu;
78.177482;1.042088;0.052262;1.042088;0.052262;0.009802;-0.004302;1.042088;0.052262;-0.727701;-0.031724;10.000000;0.809061;-0.020630;1.044982;1.043935;0.021536;1.000000;
78.187482;1.042088;0.052262;1.042088;0.052262;0.009802;-0.004302;1.042088;0.052262;-0.727700;-0.031724;10.000000;0.809061;-0.020630;1.044982;1.043935;0.021536;1.000000;
78.197482;1.042088;0.052262;1.042088;0.052262;0.009802;-0.004302;1.042088;0.052262;-0.727700;-0.031724;10.000000;0.809061;-0.020630;1.044982;1.043935;0.021536;1.000000;
78.207482;1.042088;0.052262;1.042088;0.052262;0.009802;-0.004302;1.042088;0.052262;-0.727700;-0.031724;10.000000;0.809061;-0.020630;1.044982;1.043936;0.021536;1.000000;
78.217482;1.042089;0.052262;1.042089;0.052262;0.009802;-0.004302;1.042089;0.052262;-0.727700;-0.031724;10.000000;0.809061;-0.020630;1.044982;1.043936;0.021536;1.000000;
78.227482;1.042089;0.052262;1.042089;0.052262;0.009802;-0.004302;1.042089;0.052262;-0.727700;-0.031724;10.000000;0.809061;-0.020630;1.044982;1.043936;0.021536;1.000000;
78.237482;1.042089;0.052262;1.042089;0.052262;0.009802;-0.004302;1.042089;0.052262;-0.727700;-0.031724;10.000000;0.809060;-0.020630;1.044982;1.043936;0.021536;1.000000;
78.247482;1.042089;0.052262;1.042089;0.052262;0.009802;-0.004302;1.042089;0.052262;-0.727700;-0.031724;10.000000;0.809060;-0.020630;1.044982;1.043936;0.021536;1.000000;
78.257482;1.042089;0.052262;1.042089;0.052262;0.009802;-0.004302;1.042089;0.052262;-0.727700;-0.031724;10.000000;0.809060;-0.020630;1.044982;1.043937;0.021536;1.000000;
78.267482;1.042089;0.052262;1.042089;0.052262;0.009802;-0.004302;1.042089;0.052262;-0.727699;-0.031724;10.000000;0.809060;-0.020630;1.044982;1.043937;0.021536;1.000000;
