time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu
30.153319000;8.643e-01;-5.826e-02;1.122e+00;-6.741e-02;1.298e+00;8.643e-01;-3.496e-02;6.730e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.153351000;8.638e-01;-3.588e-02;1.122e+00;-4.153e-02;1.299e+00;8.638e-01;-2.153e-02;6.732e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.153447000;8.629e-01;2.777e-02;1.121e+00;3.218e-02;1.299e+00;8.629e-01;1.666e-02;6.726e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.153543000;8.625e-01;8.629e-02;1.117e+00;1.000e-01;1.296e+00;8.625e-01;5.177e-02;6.705e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.155260000;8.766e-01;5.674e-01;9.878e-01;6.473e-01;1.127e+00;8.766e-01;3.404e-01;5.927e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.155516000;8.781e-01;5.904e-01;9.765e-01;6.724e-01;1.112e+00;8.781e-01;3.543e-01;5.859e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.155580000;8.784e-01;5.953e-01;9.741e-01;6.777e-01;1.109e+00;8.784e-01;3.572e-01;5.844e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.156092000;8.806e-01;6.247e-01;9.588e-01;7.095e-01;1.089e+00;8.806e-01;3.748e-01;5.753e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.156284000;8.811e-01;6.324e-01;9.546e-01;7.177e-01;1.083e+00;8.811e-01;3.794e-01;5.728e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.156412000;8.815e-01;6.367e-01;9.523e-01;7.223e-01;1.080e+00;8.815e-01;3.820e-01;5.714e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.157359000;8.830e-01;6.560e-01;9.415e-01;7.430e-01;1.066e+00;8.830e-01;3.936e-01;5.649e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.157475000;8.831e-01;6.573e-01;9.407e-01;7.444e-01;1.065e+00;8.831e-01;3.944e-01;5.644e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.161407000;8.856e-01;6.839e-01;9.233e-01;7.722e-01;1.043e+00;8.856e-01;4.103e-01;5.540e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.161888000;8.864e-01;6.886e-01;9.190e-01;7.769e-01;1.037e+00;8.864e-01;4.131e-01;5.514e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.164182000;8.911e-01;7.110e-01;8.916e-01;7.978e-01;1.001e+00;8.911e-01;4.266e-01;5.350e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.165759000;8.954e-01;7.248e-01;8.678e-01;8.094e-01;9.692e-01;8.954e-01;4.349e-01;5.207e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.165982000;8.961e-01;7.264e-01;8.642e-01;8.107e-01;9.644e-01;8.961e-01;4.359e-01;5.185e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.166204000;8.968e-01;7.281e-01;8.606e-01;8.119e-01;9.596e-01;8.968e-01;4.368e-01;5.163e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.166427000;8.975e-01;7.296e-01;8.568e-01;8.130e-01;9.547e-01;8.975e-01;4.378e-01;5.141e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.170884000;9.132e-01;7.518e-01;7.731e-01;8.233e-01;8.466e-01;9.132e-01;4.511e-01;4.639e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.171776000;9.166e-01;7.546e-01;7.548e-01;8.232e-01;8.234e-01;9.166e-01;4.528e-01;4.529e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.172221000;9.184e-01;7.559e-01;7.455e-01;8.230e-01;8.118e-01;9.184e-01;4.535e-01;4.473e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.178551000;9.436e-01;7.650e-01;6.082e-01;8.108e-01;6.446e-01;9.436e-01;4.590e-01;3.649e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.179754000;9.483e-01;7.654e-01;5.817e-01;8.072e-01;6.134e-01;9.483e-01;4.593e-01;3.490e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.180155000;9.499e-01;7.655e-01;5.729e-01;8.059e-01;6.031e-01;9.499e-01;4.593e-01;3.437e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.185771000;9.710e-01;7.634e-01;4.512e-01;7.862e-01;4.647e-01;9.710e-01;4.581e-01;2.707e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.190257000;9.866e-01;7.591e-01;3.585e-01;7.694e-01;3.634e-01;9.866e-01;4.555e-01;2.151e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.192305000;9.931e-01;7.566e-01;3.191e-01;7.618e-01;3.213e-01;9.931e-01;4.539e-01;1.915e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.192817000;9.946e-01;7.559e-01;3.097e-01;7.600e-01;3.113e-01;9.946e-01;4.535e-01;1.858e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.193329000;9.961e-01;7.552e-01;3.004e-01;7.581e-01;3.016e-01;9.961e-01;4.531e-01;1.802e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.193841000;9.976e-01;7.544e-01;2.913e-01;7.563e-01;2.920e-01;9.976e-01;4.527e-01;1.748e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.205091000;1.024e+00;7.362e-01;1.274e-01;7.193e-01;1.245e-01;1.024e+00;4.417e-01;7.646e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.205347000;1.024e+00;7.358e-01;1.246e-01;7.185e-01;1.216e-01;1.024e+00;4.415e-01;7.474e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.206883000;1.026e+00;7.331e-01;1.086e-01;7.142e-01;1.058e-01;1.026e+00;4.399e-01;6.517e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.207395000;1.027e+00;7.322e-01;1.038e-01;7.128e-01;1.010e-01;1.027e+00;4.393e-01;6.225e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.210723000;1.031e+00;7.263e-01;7.687e-02;7.041e-01;7.453e-02;1.031e+00;4.358e-01;4.612e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.211747000;1.033e+00;7.245e-01;7.003e-02;7.017e-01;6.783e-02;1.033e+00;4.347e-01;4.202e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.214051000;1.035e+00;7.204e-01;5.667e-02;6.963e-01;5.477e-02;1.035e+00;4.323e-01;3.400e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.215843000;1.036e+00;7.174e-01;4.794e-02;6.925e-01;4.627e-02;1.036e+00;4.304e-01;2.876e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.216099000;1.036e+00;7.169e-01;4.680e-02;6.919e-01;4.516e-02;1.036e+00;4.302e-01;2.808e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.222243000;1.040e+00;7.072e-01;2.567e-02;6.803e-01;2.469e-02;1.040e+00;4.243e-01;1.540e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.222755000;1.040e+00;7.065e-01;2.435e-02;6.794e-01;2.342e-02;1.040e+00;4.239e-01;1.461e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.225622000;1.041e+00;7.024e-01;1.794e-02;6.749e-01;1.724e-02;1.041e+00;4.214e-01;1.077e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.227465000;1.041e+00;7.000e-01;1.456e-02;6.722e-01;1.398e-02;1.041e+00;4.200e-01;8.738e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.227926000;1.042e+00;6.994e-01;1.380e-02;6.715e-01;1.325e-02;1.042e+00;4.196e-01;8.278e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.228848000;1.042e+00;6.982e-01;1.235e-02;6.703e-01;1.185e-02;1.042e+00;4.189e-01;7.410e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.230230000;1.042e+00;6.966e-01;1.038e-02;6.684e-01;9.958e-03;1.042e+00;4.179e-01;6.226e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.235760000;1.043e+00;6.906e-01;4.413e-03;6.620e-01;4.231e-03;1.043e+00;4.144e-01;2.648e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.242211000;1.044e+00;6.850e-01;1.850e-04;6.562e-01;1.771e-04;1.044e+00;4.110e-01;1.110e-04;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.243593000;1.044e+00;6.839e-01;-4.600e-04;6.551e-01;-4.407e-04;1.044e+00;4.103e-01;-2.760e-04;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.244054000;1.044e+00;6.836e-01;-6.567e-04;6.547e-01;-6.291e-04;1.044e+00;4.101e-01;-3.940e-04;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.251058000;1.045e+00;6.792e-01;-2.873e-03;6.502e-01;-2.751e-03;1.045e+00;4.075e-01;-1.724e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.251888000;1.045e+00;6.787e-01;-3.057e-03;6.498e-01;-2.926e-03;1.045e+00;4.072e-01;-1.834e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.252717000;1.045e+00;6.783e-01;-3.225e-03;6.493e-01;-3.087e-03;1.045e+00;4.070e-01;-1.935e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.271794000;1.045e+00;6.716e-01;-4.883e-03;6.427e-01;-4.673e-03;1.045e+00;4.030e-01;-2.930e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.272794000;1.045e+00;6.714e-01;-4.900e-03;6.425e-01;-4.689e-03;1.045e+00;4.028e-01;-2.940e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.273794000;1.045e+00;6.712e-01;-4.915e-03;6.422e-01;-4.703e-03;1.045e+00;4.027e-01;-2.949e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.286794000;1.045e+00;6.691e-01;-4.875e-03;6.403e-01;-4.665e-03;1.045e+00;4.015e-01;-2.925e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.290794000;1.045e+00;6.687e-01;-4.810e-03;6.399e-01;-4.603e-03;1.045e+00;4.012e-01;-2.886e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.347794000;1.045e+00;6.668e-01;-3.500e-03;6.381e-01;-3.349e-03;1.045e+00;4.001e-01;-2.100e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.366794000;1.045e+00;6.667e-01;-3.120e-03;6.381e-01;-2.986e-03;1.045e+00;4.000e-01;-1.872e-03;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.740794000;1.045e+00;6.667e-01;-7.933e-04;6.382e-01;-7.595e-04;1.045e+00;4.000e-01;-4.760e-04;1.000e+01;6.668e-01;9.960e-03;9.960e-03
38.672794000;1.044e+00;6.667e-01;1.889e-08;6.383e-01;-3.104e-08;1.044e+00;4.000e-01;3.511e-08;1.000e+01;6.668e-01;9.960e-03;9.960e-03
38.696794000;1.044e+00;6.667e-01;1.675e-06;6.383e-01;1.582e-06;1.044e+00;4.000e-01;9.937e-07;1.000e+01;6.668e-01;9.960e-03;9.960e-03
100.000000000;1.044e+00;6.667e-01;1.012e-09;6.383e-01;-8.303e-09;1.044e+00;4.000e-01;1.498e-09;1.000e+01;6.668e-01;9.960e-03;9.960e-03
