time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.165395000;1.048e+00;6.960e-01;1.733e-04;6.639e-01;1.653e-04;1.055e+00;1.000e+01;6.796e-01;-1.898e-02;1.051e+00;1.000e+00;6.799e-01;1.000e+00
0.175395000;1.049e+00;6.904e-01;1.619e-04;6.584e-01;1.544e-04;1.055e+00;1.000e+01;6.741e-01;-1.879e-02;1.051e+00;1.000e+00;6.744e-01;1.000e+00
0.185395000;1.049e+00;6.848e-01;1.477e-04;6.528e-01;1.408e-04;1.055e+00;1.000e+01;6.685e-01;-1.860e-02;1.051e+00;1.000e+00;6.688e-01;1.000e+00
0.195395000;1.049e+00;6.791e-01;1.281e-04;6.471e-01;1.220e-04;1.056e+00;1.000e+01;6.628e-01;-1.839e-02;1.051e+00;1.000e+00;6.631e-01;1.000e+00
0.205395000;1.050e+00;6.733e-01;1.073e-04;6.414e-01;1.022e-04;1.056e+00;1.000e+01;6.571e-01;-1.819e-02;1.051e+00;1.000e+00;6.574e-01;1.000e+00
0.206892000;1.050e+00;6.725e-01;1.039e-04;6.405e-01;9.901e-05;1.056e+00;1.000e+01;6.563e-01;-1.816e-02;1.051e+00;1.000e+00;6.565e-01;1.000e+00
0.206893000;1.050e+00;6.725e-01;1.035e-04;6.405e-01;9.857e-05;1.056e+00;1.000e+01;6.563e-01;-1.816e-02;1.051e+00;1.000e+00;6.565e-01;1.000e+00
0.206894000;1.050e+00;6.725e-01;1.035e-04;6.405e-01;9.857e-05;1.056e+00;1.000e+01;6.563e-01;-1.816e-02;1.051e+00;1.000e+00;6.565e-01;1.000e+00
0.206896000;1.050e+00;6.725e-01;1.042e-04;6.405e-01;9.928e-05;1.056e+00;1.000e+01;6.563e-01;-1.816e-02;1.051e+00;1.000e+00;6.565e-01;1.000e+00
0.206900000;1.050e+00;6.725e-01;1.039e-04;6.405e-01;9.895e-05;1.056e+00;1.000e+01;6.563e-01;-1.816e-02;1.051e+00;1.000e+00;6.565e-01;1.000e+00
0.206908000;1.050e+00;6.724e-01;1.032e-04;6.405e-01;9.829e-05;1.056e+00;1.000e+01;6.563e-01;-1.816e-02;1.051e+00;1.000e+00;6.565e-01;1.000e+00
0.206924000;1.050e+00;6.724e-01;1.035e-04;6.405e-01;9.861e-05;1.056e+00;1.000e+01;6.563e-01;-1.816e-02;1.051e+00;1.000e+00;6.565e-01;1.000e+00
0.206956000;1.050e+00;6.724e-01;1.047e-04;6.405e-01;9.969e-05;1.056e+00;1.000e+01;6.562e-01;-1.816e-02;1.051e+00;1.000e+00;6.565e-01;1.000e+00
0.207020000;1.050e+00;6.724e-01;1.037e-04;6.404e-01;9.874e-05;1.056e+00;1.000e+01;6.562e-01;-1.816e-02;1.051e+00;1.000e+00;6.565e-01;1.000e+00
0.207148000;1.050e+00;6.723e-01;1.046e-04;6.404e-01;9.962e-05;1.056e+00;1.000e+01;6.561e-01;-1.816e-02;1.051e+00;1.000e+00;6.564e-01;1.000e+00
0.207404000;1.050e+00;6.722e-01;1.015e-04;6.402e-01;9.670e-05;1.056e+00;1.000e+01;6.560e-01;-1.815e-02;1.051e+00;1.000e+00;6.562e-01;1.000e+00
0.207916000;1.050e+00;6.719e-01;9.991e-05;6.399e-01;9.516e-05;1.056e+00;1.000e+01;6.557e-01;-1.814e-02;1.051e+00;1.000e+00;6.559e-01;1.000e+00
0.208940000;1.050e+00;6.713e-01;9.092e-05;6.393e-01;8.659e-05;1.056e+00;1.000e+01;6.551e-01;-1.811e-02;1.051e+00;1.000e+00;6.553e-01;1.000e+00
0.210988000;1.050e+00;6.701e-01;6.756e-05;6.382e-01;6.434e-05;1.056e+00;1.000e+01;6.539e-01;-1.805e-02;1.051e+00;1.000e+00;6.542e-01;1.000e+00
0.215084000;1.050e+00;6.677e-01;-9.432e-06;6.358e-01;-8.982e-06;1.056e+00;1.000e+01;6.516e-01;-1.790e-02;1.051e+00;1.000e+00;6.518e-01;1.000e+00
0.219180000;1.050e+00;6.653e-01;-1.104e-04;6.334e-01;-1.051e-04;1.056e+00;1.000e+01;6.492e-01;-1.773e-02;1.051e+00;1.000e+00;6.494e-01;1.000e+00
0.223276000;1.050e+00;6.629e-01;-2.244e-04;6.311e-01;-2.136e-04;1.056e+00;1.000e+01;6.468e-01;-1.755e-02;1.051e+00;1.000e+00;6.471e-01;1.000e+00
0.227372000;1.050e+00;6.605e-01;-3.446e-04;6.287e-01;-3.280e-04;1.056e+00;1.000e+01;6.445e-01;-1.736e-02;1.051e+00;1.000e+00;6.447e-01;1.000e+00
0.231468000;1.051e+00;6.581e-01;-4.646e-04;6.264e-01;-4.422e-04;1.056e+00;1.000e+01;6.421e-01;-1.717e-02;1.051e+00;1.000e+00;6.424e-01;1.000e+00
0.239660000;1.051e+00;6.533e-01;-7.044e-04;6.217e-01;-6.703e-04;1.057e+00;1.000e+01;6.374e-01;-1.680e-02;1.051e+00;1.000e+00;6.377e-01;1.000e+00
0.247852000;1.051e+00;6.485e-01;-9.328e-04;6.170e-01;-8.874e-04;1.057e+00;1.000e+01;6.327e-01;-1.644e-02;1.051e+00;1.000e+00;6.330e-01;1.000e+00
0.257852000;1.051e+00;6.426e-01;-1.203e-03;6.113e-01;-1.144e-03;1.057e+00;1.000e+01;6.271e-01;-1.601e-02;1.051e+00;1.000e+00;6.273e-01;1.000e+00
0.267852000;1.052e+00;6.368e-01;-1.467e-03;6.056e-01;-1.395e-03;1.057e+00;1.000e+01;6.214e-01;-1.559e-02;1.051e+00;1.000e+00;6.216e-01;1.000e+00
0.277852000;1.052e+00;6.311e-01;-1.725e-03;6.000e-01;-1.640e-03;1.057e+00;1.000e+01;6.158e-01;-1.518e-02;1.051e+00;1.000e+00;6.160e-01;1.000e+00
0.287852000;1.052e+00;6.254e-01;-1.981e-03;5.944e-01;-1.883e-03;1.057e+00;1.000e+01;6.102e-01;-1.477e-02;1.051e+00;1.000e+00;6.104e-01;1.000e+00
0.297852000;1.052e+00;6.198e-01;-2.232e-03;5.889e-01;-2.121e-03;1.057e+00;1.000e+01;6.047e-01;-1.437e-02;1.051e+00;1.000e+00;6.049e-01;1.000e+00
0.307852000;1.053e+00;6.142e-01;-2.481e-03;5.835e-01;-2.357e-03;1.057e+00;1.000e+01;5.993e-01;-1.398e-02;1.051e+00;1.000e+00;5.995e-01;1.000e+00
0.317852000;1.053e+00;6.087e-01;-2.725e-03;5.781e-01;-2.588e-03;1.058e+00;1.000e+01;5.939e-01;-1.360e-02;1.051e+00;1.000e+00;5.941e-01;1.000e+00
0.327852000;1.053e+00;6.032e-01;-2.963e-03;5.728e-01;-2.813e-03;1.058e+00;1.000e+01;5.886e-01;-1.322e-02;1.051e+00;1.000e+00;5.888e-01;1.000e+00
