time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_VoltageSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
19.998464000;1.153e+00;7.325e-01;-2.440e-01;6.355e-01;-2.117e-01;1.148e+00;6.543e-01;-1.946e-01;1.153e+00;4.395e-01;-1.464e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.998925000;1.158e+00;7.358e-01;-2.467e-01;6.351e-01;-2.129e-01;1.154e+00;6.538e-01;-1.959e-01;1.158e+00;4.415e-01;-1.480e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.000000000;1.172e+00;7.431e-01;-2.537e-01;6.339e-01;-2.164e-01;1.167e+00;6.527e-01;-1.995e-01;1.172e+00;4.459e-01;-1.522e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.000124000;1.174e+00;7.439e-01;-2.545e-01;6.338e-01;-2.168e-01;1.169e+00;6.525e-01;-2.000e-01;1.174e+00;4.463e-01;-1.527e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.000252000;1.175e+00;7.448e-01;-2.555e-01;6.336e-01;-2.173e-01;1.171e+00;6.523e-01;-2.005e-01;1.175e+00;4.469e-01;-1.533e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.001020000;1.185e+00;7.498e-01;-2.612e-01;6.326e-01;-2.204e-01;1.180e+00;6.513e-01;-2.037e-01;1.185e+00;4.499e-01;-1.567e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.002044000;1.198e+00;7.562e-01;-2.698e-01;6.311e-01;-2.251e-01;1.193e+00;6.499e-01;-2.085e-01;1.198e+00;4.537e-01;-1.619e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.003267000;1.214e+00;7.636e-01;-2.813e-01;6.290e-01;-2.317e-01;1.209e+00;6.478e-01;-2.153e-01;1.214e+00;4.582e-01;-1.688e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.004997000;1.236e+00;7.733e-01;-3.010e-01;6.256e-01;-2.435e-01;1.231e+00;6.446e-01;-2.273e-01;1.236e+00;4.640e-01;-1.806e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.005343000;1.240e+00;7.752e-01;-3.055e-01;6.249e-01;-2.463e-01;1.235e+00;6.438e-01;-2.301e-01;1.240e+00;4.651e-01;-1.833e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.005689000;1.245e+00;7.770e-01;-3.102e-01;6.241e-01;-2.491e-01;1.239e+00;6.431e-01;-2.330e-01;1.245e+00;4.662e-01;-1.861e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.006035000;1.249e+00;7.788e-01;-3.150e-01;6.234e-01;-2.521e-01;1.244e+00;6.423e-01;-2.361e-01;1.249e+00;4.673e-01;-1.890e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.007073000;1.263e+00;7.840e-01;-3.307e-01;6.209e-01;-2.619e-01;1.257e+00;6.400e-01;-2.460e-01;1.263e+00;4.704e-01;-1.984e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.007419000;1.267e+00;7.856e-01;-3.363e-01;6.201e-01;-2.655e-01;1.261e+00;6.391e-01;-2.496e-01;1.267e+00;4.714e-01;-2.018e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.007765000;1.271e+00;7.872e-01;-3.421e-01;6.192e-01;-2.691e-01;1.265e+00;6.383e-01;-2.533e-01;1.271e+00;4.723e-01;-2.053e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.008802000;1.285e+00;7.919e-01;-3.607e-01;6.164e-01;-2.808e-01;1.278e+00;6.357e-01;-2.651e-01;1.285e+00;4.752e-01;-2.164e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.009840000;1.298e+00;7.964e-01;-3.810e-01;6.136e-01;-2.935e-01;1.291e+00;6.329e-01;-2.780e-01;1.298e+00;4.778e-01;-2.286e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.009996000;1.300e+00;7.968e-01;-3.841e-01;6.131e-01;-2.955e-01;1.293e+00;6.325e-01;-2.800e-01;1.300e+00;4.781e-01;-2.304e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.009996000;1.300e+00;7.970e-01;-3.842e-01;6.131e-01;-2.955e-01;1.293e+00;6.325e-01;-2.800e-01;1.300e+00;4.782e-01;-2.305e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.010000000;1.300e+00;7.970e-01;-3.843e-01;6.131e-01;-2.956e-01;1.293e+00;6.325e-01;-2.801e-01;1.300e+00;4.782e-01;-2.306e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.010012000;1.300e+00;7.970e-01;-3.845e-01;6.131e-01;-2.957e-01;1.293e+00;6.324e-01;-2.802e-01;1.300e+00;4.782e-01;-2.307e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.010028000;1.300e+00;7.969e-01;-3.847e-01;6.130e-01;-2.959e-01;1.293e+00;6.324e-01;-2.804e-01;1.300e+00;4.782e-01;-2.308e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.010060000;1.300e+00;7.968e-01;-3.853e-01;6.129e-01;-2.964e-01;1.293e+00;6.323e-01;-2.808e-01;1.300e+00;4.781e-01;-2.312e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
20.010124000;1.300e+00;7.966e-01;-3.864e-01;6.127e-01;-2.972e-01;1.293e+00;6.321e-01;-2.817e-01;1.300e+00;4.779e-01;-2.318e-01;1.000e+01;9.808e-01;4.998e+01;4.998e+01
20.010636000;1.300e+00;7.946e-01;-3.952e-01;6.112e-01;-3.040e-01;1.293e+00;6.307e-01;-2.886e-01;1.300e+00;4.768e-01;-2.371e-01;1.000e+01;9.808e-01;4.998e+01;4.998e+01
20.010866000;1.300e+00;7.937e-01;-3.993e-01;6.106e-01;-3.072e-01;1.293e+00;6.300e-01;-2.917e-01;1.300e+00;4.762e-01;-2.396e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.012018000;1.300e+00;7.891e-01;-4.206e-01;6.070e-01;-3.236e-01;1.293e+00;6.267e-01;-3.082e-01;1.300e+00;4.735e-01;-2.524e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.012249000;1.300e+00;7.882e-01;-4.250e-01;6.063e-01;-3.269e-01;1.292e+00;6.260e-01;-3.116e-01;1.300e+00;4.729e-01;-2.550e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.014783000;1.300e+00;7.777e-01;-4.754e-01;5.983e-01;-3.657e-01;1.292e+00;6.184e-01;-3.505e-01;1.300e+00;4.666e-01;-2.852e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.015014000;1.300e+00;7.768e-01;-4.801e-01;5.975e-01;-3.693e-01;1.291e+00;6.177e-01;-3.541e-01;1.300e+00;4.661e-01;-2.881e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.017087000;1.300e+00;7.682e-01;-5.229e-01;5.909e-01;-4.022e-01;1.291e+00;6.114e-01;-3.872e-01;1.300e+00;4.609e-01;-3.137e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.017502000;1.300e+00;7.665e-01;-5.314e-01;5.896e-01;-4.088e-01;1.290e+00;6.102e-01;-3.938e-01;1.300e+00;4.599e-01;-3.189e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.019576000;1.300e+00;7.582e-01;-5.740e-01;5.832e-01;-4.415e-01;1.290e+00;6.041e-01;-4.267e-01;1.300e+00;4.549e-01;-3.444e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.019990000;1.300e+00;7.566e-01;-5.824e-01;5.820e-01;-4.480e-01;1.289e+00;6.029e-01;-4.332e-01;1.300e+00;4.539e-01;-3.494e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.020405000;1.300e+00;7.549e-01;-5.908e-01;5.807e-01;-4.544e-01;1.289e+00;6.017e-01;-4.396e-01;1.300e+00;4.530e-01;-3.545e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.021649000;1.300e+00;7.502e-01;-6.155e-01;5.771e-01;-4.735e-01;1.289e+00;5.983e-01;-4.588e-01;1.300e+00;4.501e-01;-3.693e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.022064000;1.300e+00;7.486e-01;-6.237e-01;5.759e-01;-4.798e-01;1.289e+00;5.971e-01;-4.650e-01;1.300e+00;4.492e-01;-3.742e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.022479000;1.300e+00;7.471e-01;-6.318e-01;5.747e-01;-4.860e-01;1.289e+00;5.960e-01;-4.713e-01;1.300e+00;4.483e-01;-3.790e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.022893000;1.300e+00;7.456e-01;-6.398e-01;5.735e-01;-4.921e-01;1.288e+00;5.949e-01;-4.775e-01;1.300e+00;4.474e-01;-3.839e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.025382000;1.300e+00;7.369e-01;-6.861e-01;5.668e-01;-5.278e-01;1.288e+00;5.885e-01;-5.133e-01;1.300e+00;4.421e-01;-4.117e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.025796000;1.300e+00;7.355e-01;-6.936e-01;5.657e-01;-5.335e-01;1.287e+00;5.875e-01;-5.190e-01;1.300e+00;4.413e-01;-4.162e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.026211000;1.300e+00;7.341e-01;-7.010e-01;5.647e-01;-5.392e-01;1.287e+00;5.865e-01;-5.247e-01;1.300e+00;4.405e-01;-4.206e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.026626000;1.300e+00;7.327e-01;-7.082e-01;5.636e-01;-5.448e-01;1.287e+00;5.855e-01;-5.303e-01;1.300e+00;4.396e-01;-4.249e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.027040000;1.300e+00;7.314e-01;-7.154e-01;5.626e-01;-5.503e-01;1.287e+00;5.846e-01;-5.359e-01;1.300e+00;4.388e-01;-4.292e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.027870000;1.300e+00;7.288e-01;-7.295e-01;5.606e-01;-5.612e-01;1.287e+00;5.826e-01;-5.468e-01;1.300e+00;4.373e-01;-4.377e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.028285000;1.300e+00;7.275e-01;-7.364e-01;5.596e-01;-5.665e-01;1.287e+00;5.817e-01;-5.521e-01;1.300e+00;4.365e-01;-4.418e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.028699000;1.300e+00;7.262e-01;-7.432e-01;5.586e-01;-5.717e-01;1.286e+00;5.808e-01;-5.574e-01;1.300e+00;4.357e-01;-4.459e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.029944000;1.300e+00;7.226e-01;-7.631e-01;5.558e-01;-5.870e-01;1.286e+00;5.781e-01;-5.727e-01;1.300e+00;4.335e-01;-4.579e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.030773000;1.300e+00;7.202e-01;-7.759e-01;5.540e-01;-5.969e-01;1.286e+00;5.764e-01;-5.826e-01;1.300e+00;4.321e-01;-4.655e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.031188000;1.300e+00;7.191e-01;-7.822e-01;5.531e-01;-6.017e-01;1.286e+00;5.756e-01;-5.874e-01;1.300e+00;4.315e-01;-4.693e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.031602000;1.300e+00;7.180e-01;-7.883e-01;5.523e-01;-6.064e-01;1.286e+00;5.747e-01;-5.922e-01;1.300e+00;4.308e-01;-4.730e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.032017000;1.300e+00;7.168e-01;-7.944e-01;5.514e-01;-6.111e-01;1.285e+00;5.739e-01;-5.969e-01;1.300e+00;4.301e-01;-4.766e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.034920000;1.300e+00;7.096e-01;-8.343e-01;5.458e-01;-6.418e-01;1.285e+00;5.686e-01;-6.277e-01;1.300e+00;4.257e-01;-5.006e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
20.035667000;1.300e+00;7.078e-01;-8.438e-01;5.445e-01;-6.491e-01;1.285e+00;5.673e-01;-6.350e-01;1.300e+00;4.247e-01;-5.063e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.036376000;1.300e+00;7.062e-01;-8.526e-01;5.433e-01;-6.559e-01;1.284e+00;5.662e-01;-6.418e-01;1.300e+00;4.237e-01;-5.116e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.036408000;1.300e+00;7.062e-01;-8.530e-01;5.432e-01;-6.562e-01;1.284e+00;5.661e-01;-6.421e-01;1.300e+00;4.237e-01;-5.118e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.037912000;1.300e+00;7.030e-01;-8.708e-01;5.407e-01;-6.699e-01;1.284e+00;5.638e-01;-6.559e-01;1.300e+00;4.218e-01;-5.225e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.038424000;1.300e+00;7.019e-01;-8.766e-01;5.399e-01;-6.743e-01;1.284e+00;5.630e-01;-6.604e-01;1.300e+00;4.211e-01;-5.260e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.038936000;1.300e+00;7.009e-01;-8.823e-01;5.391e-01;-6.787e-01;1.284e+00;5.622e-01;-6.647e-01;1.300e+00;4.205e-01;-5.294e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.039999000;1.300e+00;6.988e-01;-8.937e-01;5.376e-01;-6.875e-01;1.284e+00;5.607e-01;-6.735e-01;1.300e+00;4.193e-01;-5.362e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.040013000;1.300e+00;6.988e-01;-8.938e-01;5.375e-01;-6.876e-01;1.284e+00;5.607e-01;-6.737e-01;1.300e+00;4.193e-01;-5.363e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.040029000;1.300e+00;6.987e-01;-8.940e-01;5.375e-01;-6.877e-01;1.284e+00;5.607e-01;-6.738e-01;1.300e+00;4.192e-01;-5.364e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.040061000;1.300e+00;6.986e-01;-8.943e-01;5.375e-01;-6.880e-01;1.283e+00;5.607e-01;-6.740e-01;1.300e+00;4.192e-01;-5.366e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.040125000;1.300e+00;6.984e-01;-8.948e-01;5.374e-01;-6.885e-01;1.283e+00;5.606e-01;-6.746e-01;1.300e+00;4.190e-01;-5.369e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.040765000;1.298e+00;6.964e-01;-9.003e-01;5.365e-01;-6.935e-01;1.282e+00;5.597e-01;-6.796e-01;1.298e+00;4.178e-01;-5.402e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.041789000;1.296e+00;6.932e-01;-9.086e-01;5.350e-01;-7.013e-01;1.279e+00;5.584e-01;-6.874e-01;1.296e+00;4.159e-01;-5.452e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.042301000;1.294e+00;6.916e-01;-9.125e-01;5.344e-01;-7.051e-01;1.277e+00;5.577e-01;-6.912e-01;1.294e+00;4.150e-01;-5.475e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.044861000;1.288e+00;6.842e-01;-9.300e-01;5.312e-01;-7.221e-01;1.271e+00;5.548e-01;-7.083e-01;1.288e+00;4.105e-01;-5.580e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.045011000;1.287e+00;6.838e-01;-9.309e-01;5.311e-01;-7.230e-01;1.270e+00;5.546e-01;-7.092e-01;1.287e+00;4.103e-01;-5.585e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.045012000;1.287e+00;6.837e-01;-9.309e-01;5.311e-01;-7.230e-01;1.270e+00;5.546e-01;-7.092e-01;1.287e+00;4.102e-01;-5.585e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.045267000;1.287e+00;6.830e-01;-9.324e-01;5.308e-01;-7.246e-01;1.270e+00;5.544e-01;-7.107e-01;1.287e+00;4.098e-01;-5.594e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.046035000;1.285e+00;6.810e-01;-9.367e-01;5.300e-01;-7.290e-01;1.268e+00;5.536e-01;-7.152e-01;1.285e+00;4.086e-01;-5.620e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.047059000;1.282e+00;6.783e-01;-9.419e-01;5.289e-01;-7.345e-01;1.265e+00;5.526e-01;-7.207e-01;1.282e+00;4.070e-01;-5.652e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.047571000;1.281e+00;6.770e-01;-9.443e-01;5.285e-01;-7.371e-01;1.263e+00;5.522e-01;-7.233e-01;1.281e+00;4.062e-01;-5.666e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.048083000;1.280e+00;6.757e-01;-9.466e-01;5.280e-01;-7.396e-01;1.262e+00;5.517e-01;-7.258e-01;1.280e+00;4.054e-01;-5.679e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.048595000;1.279e+00;6.745e-01;-9.486e-01;5.276e-01;-7.420e-01;1.261e+00;5.513e-01;-7.282e-01;1.279e+00;4.047e-01;-5.692e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.049107000;1.277e+00;6.733e-01;-9.506e-01;5.271e-01;-7.443e-01;1.259e+00;5.509e-01;-7.304e-01;1.277e+00;4.040e-01;-5.703e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.049996000;1.275e+00;6.713e-01;-9.537e-01;5.264e-01;-7.479e-01;1.257e+00;5.503e-01;-7.341e-01;1.275e+00;4.028e-01;-5.722e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.050124000;1.275e+00;6.709e-01;-9.540e-01;5.263e-01;-7.484e-01;1.257e+00;5.502e-01;-7.346e-01;1.275e+00;4.025e-01;-5.724e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.050508000;1.274e+00;6.700e-01;-9.551e-01;5.260e-01;-7.499e-01;1.256e+00;5.499e-01;-7.360e-01;1.274e+00;4.020e-01;-5.731e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.051020000;1.272e+00;6.689e-01;-9.565e-01;5.257e-01;-7.517e-01;1.254e+00;5.496e-01;-7.379e-01;1.272e+00;4.013e-01;-5.739e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.052532000;1.269e+00;6.657e-01;-9.597e-01;5.247e-01;-7.565e-01;1.251e+00;5.487e-01;-7.427e-01;1.269e+00;3.994e-01;-5.758e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.053432000;1.266e+00;6.639e-01;-9.611e-01;5.242e-01;-7.589e-01;1.248e+00;5.482e-01;-7.451e-01;1.266e+00;3.983e-01;-5.767e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.054332000;1.264e+00;6.622e-01;-9.621e-01;5.238e-01;-7.610e-01;1.246e+00;5.478e-01;-7.472e-01;1.264e+00;3.973e-01;-5.772e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.055232000;1.262e+00;6.605e-01;-9.626e-01;5.234e-01;-7.628e-01;1.244e+00;5.474e-01;-7.490e-01;1.262e+00;3.963e-01;-5.776e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.056132000;1.260e+00;6.589e-01;-9.627e-01;5.231e-01;-7.643e-01;1.241e+00;5.471e-01;-7.504e-01;1.260e+00;3.953e-01;-5.776e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.057932000;1.255e+00;6.558e-01;-9.619e-01;5.225e-01;-7.663e-01;1.237e+00;5.466e-01;-7.525e-01;1.255e+00;3.935e-01;-5.771e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.059732000;1.251e+00;6.531e-01;-9.596e-01;5.222e-01;-7.673e-01;1.232e+00;5.463e-01;-7.534e-01;1.251e+00;3.918e-01;-5.758e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.059996000;1.250e+00;6.528e-01;-9.593e-01;5.221e-01;-7.673e-01;1.232e+00;5.463e-01;-7.535e-01;1.250e+00;3.917e-01;-5.756e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.059996000;1.250e+00;6.527e-01;-9.591e-01;5.221e-01;-7.673e-01;1.232e+00;5.463e-01;-7.535e-01;1.250e+00;3.916e-01;-5.755e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.060060000;1.250e+00;6.526e-01;-9.592e-01;5.221e-01;-7.673e-01;1.232e+00;5.463e-01;-7.535e-01;1.250e+00;3.916e-01;-5.755e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.060764000;1.250e+00;6.526e-01;-9.591e-01;5.220e-01;-7.673e-01;1.232e+00;5.462e-01;-7.535e-01;1.250e+00;3.915e-01;-5.755e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.061276000;1.250e+00;6.525e-01;-9.590e-01;5.220e-01;-7.672e-01;1.232e+00;5.462e-01;-7.534e-01;1.250e+00;3.915e-01;-5.754e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.061737000;1.250e+00;6.525e-01;-9.588e-01;5.220e-01;-7.671e-01;1.232e+00;5.461e-01;-7.532e-01;1.250e+00;3.915e-01;-5.753e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.064041000;1.250e+00;6.525e-01;-9.570e-01;5.220e-01;-7.656e-01;1.232e+00;5.462e-01;-7.517e-01;1.250e+00;3.915e-01;-5.742e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.064502000;1.250e+00;6.526e-01;-9.565e-01;5.220e-01;-7.652e-01;1.232e+00;5.462e-01;-7.513e-01;1.250e+00;3.915e-01;-5.739e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
20.064962000;1.250e+00;6.526e-01;-9.559e-01;5.221e-01;-7.647e-01;1.232e+00;5.462e-01;-7.509e-01;1.250e+00;3.916e-01;-5.736e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
