time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.000945000;1.046e+00;3.941e-01;-1.248e-02;3.766e-01;-1.193e-02;1.046e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-1.028e-02;3.768e-01;1.000e+00
0.000953000;1.046e+00;3.941e-01;-1.158e-02;3.766e-01;-1.107e-02;1.046e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-9.412e-03;3.768e-01;1.000e+00
0.000969000;1.047e+00;3.942e-01;-9.787e-03;3.766e-01;-9.351e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-7.685e-03;3.768e-01;1.000e+00
0.001000000;1.047e+00;3.944e-01;-6.305e-03;3.767e-01;-6.021e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-4.337e-03;3.767e-01;1.000e+00
0.001001000;1.047e+00;3.944e-01;-6.195e-03;3.767e-01;-5.916e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-4.230e-03;3.767e-01;1.000e+00
0.001002000;1.047e+00;3.944e-01;-6.083e-03;3.767e-01;-5.810e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-4.124e-03;3.767e-01;1.000e+00
0.001004000;1.047e+00;3.944e-01;-5.863e-03;3.767e-01;-5.599e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-3.912e-03;3.767e-01;1.000e+00
0.001008000;1.047e+00;3.944e-01;-5.421e-03;3.767e-01;-5.177e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-3.488e-03;3.767e-01;1.000e+00
0.001016000;1.047e+00;3.945e-01;-4.541e-03;3.767e-01;-4.336e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-2.642e-03;3.767e-01;1.000e+00
0.001032000;1.047e+00;3.946e-01;-2.787e-03;3.767e-01;-2.661e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-9.570e-04;3.767e-01;1.000e+00
