time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
2.267384;1.0967532864898497;0.41663448260437985;0.379940100023867;-0.44444412565967084;-0.4052683664548109;0.9999649638145802;9.999495991327022;0.4167813105790809;-0.43689998355980714;-0.43690001272432505;0.3834386029775578;-0.4019679771946984;1.0868309267701937;0.5555140105594095;1.0000008858406704
2.277384;1.0967539444787726;0.41663430663026196;0.3799399103542354;-0.4444441264480776;-0.4052683673585553;0.9999646421067399;9.999481878212084;0.4167812427294433;-0.4368999832222607;-0.4369000123035161;0.38343862191242695;-0.4019679772161203;1.0868306006273207;0.5555141195662571;1.0000018650953888
2.287384;1.096754639820308;0.41663411482082047;0.37993973961064814;-0.44444412724476656;-0.4052683682880338;0.9999642835778281;9.999467960403514;0.4167811820567597;-0.436899982880203;-0.43690001187979915;0.38343867122297903;-0.40196797721761734;1.0868302267451289;0.5555142188712826;1.0000028013995657
2.297384;1.0967553677137645;0.41663390611883533;0.3799395876722297;-0.4444441280506068;-0.4052683692418187;0.9999638916874994;9.999454192249921;0.4167811303519529;-0.4368999825341165;-0.4369000114535883;0.3834387485545927;-0.4019679772014793;1.0868298084504515;0.5555143102994174;1.0000036946511515
2.307384;1.0967561235121963;0.41663367976599813;0.3799394549765753;-0.44444412886613766;-0.4052683702183234;0.9999634712957326;9.99944052850424;0.4167810892103165;-0.43689998218408366;-0.43690001102498016;0.3834388516357672;-0.4019679771705304;1.0868293492770078;0.5555143955667037;1.0000045460635856
2.317384;1.0967569029298128;0.41663343563655564;0.37993934205989427;-0.444444129691746;-0.4052683712157446;0.9999630291146365;9.999426932960311;0.41678105976820656;-0.4368999818298857;-0.4369000105935622;0.3834389785953965;-0.4019679771277923;1.0868288521030884;0.5555144762217955;1.0000053589504927
2.327384;1.0967577022385457;0.4166331746542232;0.37993924935010936;-0.44444413052797965;-0.40526837223213197;0.9999625725597898;9.999413379863684;0.4167810428400751;-0.43689998147110554;-0.4369000101583865;0.3834391278035048;-0.4019679770761989;1.0868283191788786;0.5555145531618928;1.0000061386370607
2.337384;1.096758518620618;0.41663289876687987;0.37993917724365794;-0.4444441313754149;-0.4052683732655481;0.9999621079689729;9.999399846131858;0.416781039146127;-0.43689998110728623;-0.4369000097182358;0.3834392976191187;-0.4019679770184613;1.0868277525897458;0.5555146267194967;1.0000068908658224
2.347384;1.0967593503292088;0.4166326103543274;0.3799391259950243;-0.4444441322343409;-0.405268374314196;0.9999616395781008;9.999386306457923;0.4167810491708264;-0.4368999807381812;-0.43690000927215183;0.3834394863862353;-0.40196797695690123;1.0868271544331194;0.5555146974233811;1.0000076198335668
2.357384;1.0967601968541087;0.41663231163144393;0.3799390952173147;-0.4444441331047736;-0.40526837537652133;0.9999611696340456;9.99937274008355;0.41678107293182115;-0.4368999803638881;-0.43690000881976765;0.38343969228159297;-0.4019679768932491;1.0868265268277137;0.5555147662378666;1.0000083273695342
