;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
110;5.721e-01;1.050e+00;7.386e-01;-6.530e-03;7.037e-01;-6.221e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
111;5.722e-01;1.050e+00;7.386e-01;-6.532e-03;7.037e-01;-6.223e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
112;5.725e-01;1.050e+00;7.386e-01;-6.536e-03;7.037e-01;-6.227e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
113;5.730e-01;1.050e+00;7.386e-01;-6.542e-03;7.037e-01;-6.233e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
114;5.740e-01;1.050e+00;7.386e-01;-6.554e-03;7.037e-01;-6.244e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
115;5.760e-01;1.050e+00;7.386e-01;-6.580e-03;7.037e-01;-6.269e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
116;5.801e-01;1.050e+00;7.386e-01;-6.632e-03;7.037e-01;-6.318e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
117;5.883e-01;1.050e+00;7.386e-01;-6.737e-03;7.037e-01;-6.419e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
118;5.983e-01;1.050e+00;7.386e-01;-6.862e-03;7.037e-01;-6.539e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
119;6.083e-01;1.049e+00;7.386e-01;-6.990e-03;7.038e-01;-6.661e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
120;6.183e-01;1.049e+00;7.386e-01;-7.117e-03;7.038e-01;-6.781e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
121;6.283e-01;1.049e+00;7.386e-01;-7.244e-03;7.038e-01;-6.903e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
122;6.383e-01;1.049e+00;7.386e-01;-7.371e-03;7.038e-01;-7.024e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
123;6.483e-01;1.049e+00;7.386e-01;-7.497e-03;7.039e-01;-7.145e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
124;6.583e-01;1.049e+00;7.386e-01;-7.624e-03;7.039e-01;-7.265e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
125;6.683e-01;1.049e+00;7.386e-01;-7.749e-03;7.039e-01;-7.386e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
126;6.783e-01;1.049e+00;7.386e-01;-7.875e-03;7.040e-01;-7.505e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
127;6.883e-01;1.049e+00;7.386e-01;-8.000e-03;7.040e-01;-7.625e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
128;6.983e-01;1.049e+00;7.386e-01;-8.125e-03;7.040e-01;-7.745e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
129;7.083e-01;1.049e+00;7.386e-01;-8.251e-03;7.040e-01;-7.865e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
130;7.183e-01;1.049e+00;7.386e-01;-8.376e-03;7.041e-01;-7.984e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
131;7.283e-01;1.049e+00;7.386e-01;-8.501e-03;7.041e-01;-8.104e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
132;7.383e-01;1.049e+00;7.386e-01;-8.626e-03;7.041e-01;-8.223e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
133;7.483e-01;1.049e+00;7.386e-01;-8.750e-03;7.042e-01;-8.342e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
134;7.583e-01;1.049e+00;7.386e-01;-8.875e-03;7.042e-01;-8.462e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
135;7.683e-01;1.049e+00;7.386e-01;-8.999e-03;7.042e-01;-8.580e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
136;7.783e-01;1.049e+00;7.386e-01;-9.123e-03;7.042e-01;-8.699e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
137;7.883e-01;1.049e+00;7.386e-01;-9.247e-03;7.043e-01;-8.817e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
138;7.983e-01;1.049e+00;7.386e-01;-9.369e-03;7.043e-01;-8.934e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
139;8.083e-01;1.049e+00;7.386e-01;-9.493e-03;7.043e-01;-9.052e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
140;8.183e-01;1.049e+00;7.386e-01;-9.616e-03;7.044e-01;-9.170e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
141;8.283e-01;1.049e+00;7.386e-01;-9.739e-03;7.044e-01;-9.288e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
142;8.383e-01;1.049e+00;7.386e-01;-9.862e-03;7.044e-01;-9.405e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
143;8.483e-01;1.049e+00;7.386e-01;-9.983e-03;7.044e-01;-9.521e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
144;8.583e-01;1.048e+00;7.386e-01;-1.011e-02;7.045e-01;-9.639e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
145;8.683e-01;1.048e+00;7.386e-01;-1.023e-02;7.045e-01;-9.756e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
146;8.783e-01;1.048e+00;7.386e-01;-1.035e-02;7.045e-01;-9.872e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
147;8.883e-01;1.048e+00;7.386e-01;-1.047e-02;7.045e-01;-9.989e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
148;8.983e-01;1.048e+00;7.386e-01;-1.059e-02;7.046e-01;-1.010e-02;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
149;9.083e-01;1.048e+00;7.386e-01;-1.071e-02;7.046e-01;-1.022e-02;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
150;9.183e-01;1.048e+00;7.386e-01;-1.083e-02;7.046e-01;-1.033e-02;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
151;9.283e-01;1.048e+00;7.386e-01;-1.095e-02;7.047e-01;-1.045e-02;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
152;9.383e-01;1.048e+00;7.386e-01;-1.107e-02;7.047e-01;-1.057e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
153;9.483e-01;1.048e+00;7.386e-01;-1.119e-02;7.047e-01;-1.068e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
154;9.583e-01;1.048e+00;7.386e-01;-1.131e-02;7.047e-01;-1.079e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
155;9.683e-01;1.048e+00;7.386e-01;-1.143e-02;7.048e-01;-1.091e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
156;9.783e-01;1.048e+00;7.386e-01;-1.155e-02;7.048e-01;-1.102e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
157;9.883e-01;1.048e+00;7.386e-01;-1.167e-02;7.048e-01;-1.114e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
158;9.983e-01;1.048e+00;7.386e-01;-1.179e-02;7.048e-01;-1.125e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
159;1.008e+00;1.048e+00;7.386e-01;-1.191e-02;7.049e-01;-1.136e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
160;1.018e+00;1.048e+00;7.386e-01;-1.203e-02;7.049e-01;-1.148e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
161;1.028e+00;1.048e+00;7.386e-01;-1.214e-02;7.049e-01;-1.159e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
162;1.038e+00;1.048e+00;7.386e-01;-1.226e-02;7.049e-01;-1.170e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
163;1.048e+00;1.048e+00;7.386e-01;-1.238e-02;7.050e-01;-1.181e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
164;1.058e+00;1.048e+00;7.386e-01;-1.249e-02;7.050e-01;-1.192e-02;1.050e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
165;1.068e+00;1.048e+00;7.386e-01;-1.261e-02;7.050e-01;-1.204e-02;1.049e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
166;1.078e+00;1.048e+00;7.386e-01;-1.273e-02;7.051e-01;-1.215e-02;1.049e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
167;1.088e+00;1.048e+00;7.386e-01;-1.284e-02;7.051e-01;-1.226e-02;1.049e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
