;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
34;4.729e-02;1.050e+00;7.625e-01;-2.617e-04;7.261e-01;-2.492e-04;1.050e+00;1.000e+01;8.335e-01;1.401e-02
35;5.008e-02;1.050e+00;7.611e-01;-6.876e-05;7.247e-01;-6.547e-05;1.051e+00;1.000e+01;8.335e-01;1.401e-02
36;5.286e-02;1.050e+00;7.599e-01;6.872e-05;7.234e-01;6.543e-05;1.051e+00;1.000e+01;8.335e-01;1.401e-02
37;5.450e-02;1.050e+00;7.592e-01;1.272e-04;7.227e-01;1.211e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
38;5.450e-02;1.050e+00;7.592e-01;1.272e-04;7.227e-01;1.211e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
39;5.450e-02;1.050e+00;7.592e-01;1.269e-04;7.227e-01;1.208e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
40;5.450e-02;1.050e+00;7.592e-01;1.273e-04;7.227e-01;1.212e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
41;5.450e-02;1.050e+00;7.592e-01;1.265e-04;7.227e-01;1.204e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
42;5.451e-02;1.050e+00;7.592e-01;1.274e-04;7.227e-01;1.213e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
43;5.453e-02;1.050e+00;7.592e-01;1.278e-04;7.227e-01;1.217e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
44;5.456e-02;1.050e+00;7.592e-01;1.293e-04;7.227e-01;1.231e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
45;5.462e-02;1.050e+00;7.591e-01;1.305e-04;7.227e-01;1.243e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
46;5.475e-02;1.050e+00;7.591e-01;1.341e-04;7.226e-01;1.277e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
47;5.501e-02;1.050e+00;7.590e-01;1.411e-04;7.225e-01;1.344e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
48;5.552e-02;1.051e+00;7.588e-01;1.534e-04;7.223e-01;1.460e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
49;5.654e-02;1.051e+00;7.584e-01;1.740e-04;7.219e-01;1.656e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
50;5.859e-02;1.051e+00;7.577e-01;1.966e-04;7.212e-01;1.871e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
51;6.064e-02;1.051e+00;7.570e-01;1.928e-04;7.205e-01;1.835e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
52;6.269e-02;1.051e+00;7.564e-01;1.656e-04;7.199e-01;1.576e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
53;6.474e-02;1.051e+00;7.558e-01;1.177e-04;7.194e-01;1.120e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
54;6.678e-02;1.051e+00;7.553e-01;4.903e-05;7.188e-01;4.667e-05;1.051e+00;1.000e+01;8.335e-01;1.401e-02
55;6.883e-02;1.051e+00;7.548e-01;-3.571e-05;7.184e-01;-3.399e-05;1.051e+00;1.000e+01;8.335e-01;1.401e-02
56;7.088e-02;1.051e+00;7.544e-01;-1.347e-04;7.179e-01;-1.282e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
57;7.293e-02;1.051e+00;7.539e-01;-2.441e-04;7.175e-01;-2.324e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
58;7.702e-02;1.051e+00;7.532e-01;-4.801e-04;7.169e-01;-4.569e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
59;8.112e-02;1.051e+00;7.525e-01;-7.236e-04;7.163e-01;-6.888e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
60;8.521e-02;1.051e+00;7.520e-01;-9.568e-04;7.158e-01;-9.108e-04;1.051e+00;1.000e+01;8.335e-01;1.401e-02
61;8.931e-02;1.051e+00;7.516e-01;-1.165e-03;7.154e-01;-1.109e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
62;9.341e-02;1.050e+00;7.512e-01;-1.340e-03;7.151e-01;-1.276e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
63;9.709e-02;1.050e+00;7.509e-01;-1.464e-03;7.149e-01;-1.394e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
64;1.008e-01;1.050e+00;7.507e-01;-1.556e-03;7.147e-01;-1.481e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
65;1.045e-01;1.050e+00;7.506e-01;-1.617e-03;7.145e-01;-1.540e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
66;1.082e-01;1.050e+00;7.504e-01;-1.649e-03;7.144e-01;-1.570e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
67;1.118e-01;1.050e+00;7.503e-01;-1.659e-03;7.143e-01;-1.580e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
68;1.155e-01;1.050e+00;7.502e-01;-1.651e-03;7.143e-01;-1.571e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
69;1.192e-01;1.050e+00;7.502e-01;-1.628e-03;7.142e-01;-1.550e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
70;1.229e-01;1.050e+00;7.502e-01;-1.598e-03;7.141e-01;-1.522e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
71;1.303e-01;1.050e+00;7.501e-01;-1.533e-03;7.141e-01;-1.459e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
72;1.369e-01;1.050e+00;7.501e-01;-1.480e-03;7.140e-01;-1.409e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
73;1.435e-01;1.050e+00;7.500e-01;-1.444e-03;7.140e-01;-1.375e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
74;1.502e-01;1.051e+00;7.500e-01;-1.427e-03;7.139e-01;-1.359e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
75;1.568e-01;1.051e+00;7.500e-01;-1.427e-03;7.139e-01;-1.359e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
76;1.634e-01;1.051e+00;7.499e-01;-1.440e-03;7.139e-01;-1.370e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
77;1.701e-01;1.050e+00;7.499e-01;-1.458e-03;7.139e-01;-1.388e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
78;1.767e-01;1.050e+00;7.499e-01;-1.479e-03;7.139e-01;-1.408e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
79;1.867e-01;1.050e+00;7.499e-01;-1.505e-03;7.139e-01;-1.432e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
80;1.967e-01;1.050e+00;7.499e-01;-1.519e-03;7.138e-01;-1.446e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
81;2.067e-01;1.050e+00;7.499e-01;-1.522e-03;7.138e-01;-1.449e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
82;2.167e-01;1.050e+00;7.499e-01;-1.519e-03;7.138e-01;-1.446e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
83;2.257e-01;1.050e+00;7.499e-01;-1.515e-03;7.138e-01;-1.442e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
84;2.347e-01;1.050e+00;7.499e-01;-1.513e-03;7.138e-01;-1.440e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
85;2.447e-01;1.050e+00;7.499e-01;-1.514e-03;7.138e-01;-1.441e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
86;2.547e-01;1.050e+00;7.499e-01;-1.514e-03;7.138e-01;-1.441e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
87;2.647e-01;1.050e+00;7.499e-01;-1.515e-03;7.138e-01;-1.442e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
88;2.747e-01;1.050e+00;7.499e-01;-1.517e-03;7.138e-01;-1.444e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
89;2.847e-01;1.050e+00;7.499e-01;-1.518e-03;7.138e-01;-1.445e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
90;2.947e-01;1.050e+00;7.499e-01;-1.521e-03;7.138e-01;-1.448e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
91;3.047e-01;1.050e+00;7.499e-01;-1.522e-03;7.138e-01;-1.449e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
92;3.147e-01;1.050e+00;7.499e-01;-1.524e-03;7.138e-01;-1.451e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
93;3.247e-01;1.050e+00;7.499e-01;-1.524e-03;7.138e-01;-1.451e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
94;3.347e-01;1.050e+00;7.499e-01;-1.525e-03;7.138e-01;-1.452e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
95;3.447e-01;1.050e+00;7.499e-01;-1.525e-03;7.138e-01;-1.452e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
96;3.547e-01;1.050e+00;7.499e-01;-1.526e-03;7.138e-01;-1.453e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
97;3.647e-01;1.050e+00;7.499e-01;-1.526e-03;7.138e-01;-1.453e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
98;3.747e-01;1.050e+00;7.499e-01;-1.527e-03;7.138e-01;-1.454e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
99;3.847e-01;1.050e+00;7.499e-01;-1.527e-03;7.138e-01;-1.454e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
100;3.947e-01;1.050e+00;7.499e-01;-1.529e-03;7.138e-01;-1.456e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
101;4.047e-01;1.050e+00;7.499e-01;-1.529e-03;7.138e-01;-1.456e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
102;4.147e-01;1.050e+00;7.499e-01;-1.531e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
103;4.247e-01;1.050e+00;7.499e-01;-1.530e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
104;4.347e-01;1.050e+00;7.499e-01;-1.530e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
105;4.447e-01;1.050e+00;7.499e-01;-1.531e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
106;4.547e-01;1.050e+00;7.499e-01;-1.532e-03;7.138e-01;-1.458e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
107;4.647e-01;1.050e+00;7.499e-01;-1.532e-03;7.138e-01;-1.458e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
108;4.747e-01;1.050e+00;7.499e-01;-1.532e-03;7.138e-01;-1.458e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
109;4.847e-01;1.050e+00;7.499e-01;-1.532e-03;7.138e-01;-1.458e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
110;4.947e-01;1.050e+00;7.499e-01;-1.532e-03;7.138e-01;-1.458e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
111;5.047e-01;1.050e+00;7.499e-01;-1.532e-03;7.138e-01;-1.458e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
112;5.147e-01;1.050e+00;7.499e-01;-1.532e-03;7.138e-01;-1.458e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
113;5.247e-01;1.050e+00;7.499e-01;-1.532e-03;7.138e-01;-1.458e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
114;5.347e-01;1.050e+00;7.499e-01;-1.532e-03;7.138e-01;-1.459e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
115;5.447e-01;1.050e+00;7.499e-01;-1.531e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
116;5.547e-01;1.050e+00;7.499e-01;-1.531e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
117;5.647e-01;1.050e+00;7.499e-01;-1.531e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
118;5.747e-01;1.050e+00;7.499e-01;-1.531e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
119;5.847e-01;1.050e+00;7.499e-01;-1.530e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
120;5.947e-01;1.050e+00;7.499e-01;-1.531e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
121;6.047e-01;1.050e+00;7.499e-01;-1.531e-03;7.138e-01;-1.457e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
122;6.147e-01;1.050e+00;7.499e-01;-1.530e-03;7.138e-01;-1.456e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
123;6.247e-01;1.050e+00;7.499e-01;-1.530e-03;7.138e-01;-1.456e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
124;6.347e-01;1.050e+00;7.499e-01;-1.529e-03;7.138e-01;-1.455e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
125;6.447e-01;1.050e+00;7.499e-01;-1.529e-03;7.138e-01;-1.455e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
126;6.547e-01;1.050e+00;7.499e-01;-1.528e-03;7.138e-01;-1.454e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
127;6.647e-01;1.050e+00;7.499e-01;-1.528e-03;7.138e-01;-1.454e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
128;6.747e-01;1.050e+00;7.499e-01;-1.527e-03;7.138e-01;-1.453e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
129;6.847e-01;1.050e+00;7.499e-01;-1.526e-03;7.138e-01;-1.452e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
130;6.947e-01;1.050e+00;7.499e-01;-1.526e-03;7.138e-01;-1.452e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
131;7.047e-01;1.050e+00;7.499e-01;-1.524e-03;7.138e-01;-1.451e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
132;7.147e-01;1.050e+00;7.499e-01;-1.524e-03;7.138e-01;-1.450e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
133;7.247e-01;1.050e+00;7.499e-01;-1.524e-03;7.138e-01;-1.450e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
134;7.347e-01;1.050e+00;7.499e-01;-1.522e-03;7.138e-01;-1.449e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
135;7.447e-01;1.050e+00;7.499e-01;-1.521e-03;7.138e-01;-1.448e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
136;7.547e-01;1.050e+00;7.499e-01;-1.520e-03;7.138e-01;-1.447e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
137;7.647e-01;1.050e+00;7.499e-01;-1.519e-03;7.138e-01;-1.446e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
138;7.747e-01;1.050e+00;7.499e-01;-1.518e-03;7.138e-01;-1.445e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
139;7.847e-01;1.050e+00;7.499e-01;-1.517e-03;7.138e-01;-1.444e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
140;7.947e-01;1.050e+00;7.499e-01;-1.516e-03;7.138e-01;-1.443e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
141;8.047e-01;1.050e+00;7.499e-01;-1.515e-03;7.138e-01;-1.442e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
142;8.147e-01;1.050e+00;7.499e-01;-1.514e-03;7.138e-01;-1.441e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
143;8.247e-01;1.050e+00;7.499e-01;-1.513e-03;7.138e-01;-1.440e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
144;8.347e-01;1.050e+00;7.499e-01;-1.512e-03;7.138e-01;-1.439e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
145;8.447e-01;1.050e+00;7.499e-01;-1.511e-03;7.138e-01;-1.438e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
146;8.547e-01;1.050e+00;7.499e-01;-1.510e-03;7.138e-01;-1.437e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
147;8.647e-01;1.050e+00;7.499e-01;-1.509e-03;7.138e-01;-1.436e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
148;8.747e-01;1.050e+00;7.499e-01;-1.508e-03;7.138e-01;-1.436e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
149;8.847e-01;1.050e+00;7.499e-01;-1.506e-03;7.138e-01;-1.433e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
150;8.947e-01;1.050e+00;7.499e-01;-1.506e-03;7.138e-01;-1.433e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
151;9.047e-01;1.050e+00;7.499e-01;-1.504e-03;7.138e-01;-1.432e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
152;9.147e-01;1.050e+00;7.499e-01;-1.503e-03;7.138e-01;-1.431e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
153;9.247e-01;1.050e+00;7.499e-01;-1.501e-03;7.138e-01;-1.429e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
154;9.347e-01;1.050e+00;7.499e-01;-1.500e-03;7.138e-01;-1.428e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
155;9.447e-01;1.050e+00;7.499e-01;-1.498e-03;7.138e-01;-1.426e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
156;9.547e-01;1.050e+00;7.499e-01;-1.497e-03;7.138e-01;-1.425e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
157;9.647e-01;1.050e+00;7.499e-01;-1.496e-03;7.138e-01;-1.424e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
158;9.747e-01;1.050e+00;7.499e-01;-1.494e-03;7.138e-01;-1.422e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
159;9.847e-01;1.050e+00;7.499e-01;-1.493e-03;7.138e-01;-1.421e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
160;9.947e-01;1.050e+00;7.499e-01;-1.491e-03;7.138e-01;-1.419e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
161;1.005e+00;1.050e+00;7.499e-01;-1.490e-03;7.138e-01;-1.418e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
162;1.015e+00;1.050e+00;7.499e-01;-1.487e-03;7.138e-01;-1.416e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
163;1.025e+00;1.050e+00;7.499e-01;-1.485e-03;7.138e-01;-1.414e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
164;1.035e+00;1.050e+00;7.499e-01;-1.484e-03;7.138e-01;-1.413e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
165;1.045e+00;1.050e+00;7.499e-01;-1.482e-03;7.138e-01;-1.411e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
166;1.055e+00;1.050e+00;7.499e-01;-1.480e-03;7.138e-01;-1.409e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
167;1.065e+00;1.050e+00;7.499e-01;-1.479e-03;7.138e-01;-1.408e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
168;1.075e+00;1.050e+00;7.499e-01;-1.477e-03;7.138e-01;-1.406e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
169;1.085e+00;1.050e+00;7.499e-01;-1.475e-03;7.138e-01;-1.404e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
170;1.095e+00;1.050e+00;7.499e-01;-1.475e-03;7.138e-01;-1.404e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
171;1.105e+00;1.050e+00;7.499e-01;-1.473e-03;7.138e-01;-1.402e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
172;1.115e+00;1.050e+00;7.499e-01;-1.471e-03;7.138e-01;-1.400e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
173;1.125e+00;1.050e+00;7.499e-01;-1.468e-03;7.138e-01;-1.398e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
174;1.135e+00;1.050e+00;7.499e-01;-1.466e-03;7.138e-01;-1.396e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
175;1.145e+00;1.050e+00;7.499e-01;-1.464e-03;7.138e-01;-1.394e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
176;1.155e+00;1.050e+00;7.499e-01;-1.462e-03;7.138e-01;-1.392e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
177;1.165e+00;1.051e+00;7.499e-01;-1.461e-03;7.138e-01;-1.391e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
178;1.175e+00;1.051e+00;7.499e-01;-1.459e-03;7.138e-01;-1.389e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
179;1.185e+00;1.051e+00;7.499e-01;-1.457e-03;7.138e-01;-1.387e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
180;1.195e+00;1.051e+00;7.499e-01;-1.455e-03;7.138e-01;-1.385e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
181;1.205e+00;1.051e+00;7.499e-01;-1.453e-03;7.138e-01;-1.383e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
182;1.215e+00;1.051e+00;7.499e-01;-1.451e-03;7.138e-01;-1.381e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
183;1.225e+00;1.051e+00;7.499e-01;-1.447e-03;7.138e-01;-1.378e-03;1.051e+00;1.000e+01;8.335e-01;1.401e-02
