time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent
53.017647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.027647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.037647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.047647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.057647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.067647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.077647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.087647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.097647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.107647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.117647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.127647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.137647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.147647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.157647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.167647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.177647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.187647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.197647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.207647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.217647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.227647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.237647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.247647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.257647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.267647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.277647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.287647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.297647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.307647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.317647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.327647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.337647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.347647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.357647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.367647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.377647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.387647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.397647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.407647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.417647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.427647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.437647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.447647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.457647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.467647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.477647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
