time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.055221000;1.044e+00;8.143e-01;-5.470e-03;7.799e-01;-5.239e-03;1.049e+00;1.000e+01;7.904e-01;1.641e-02;1.045e+00;1.000e+00;7.905e-01;1.000e+00
0.058907000;1.044e+00;8.113e-01;-5.784e-03;7.769e-01;-5.539e-03;1.049e+00;1.000e+01;7.874e-01;1.614e-02;1.045e+00;1.000e+00;7.875e-01;1.000e+00
0.062594000;1.044e+00;8.082e-01;-6.104e-03;7.738e-01;-5.844e-03;1.049e+00;1.000e+01;7.843e-01;1.583e-02;1.045e+00;1.000e+00;7.844e-01;1.000e+00
0.064019000;1.045e+00;8.069e-01;-6.229e-03;7.725e-01;-5.963e-03;1.049e+00;1.000e+01;7.830e-01;1.571e-02;1.045e+00;1.000e+00;7.832e-01;1.000e+00
0.064020000;1.045e+00;8.069e-01;-6.229e-03;7.725e-01;-5.964e-03;1.049e+00;1.000e+01;7.830e-01;1.571e-02;1.045e+00;1.000e+00;7.832e-01;1.000e+00
0.064021000;1.045e+00;8.069e-01;-6.228e-03;7.725e-01;-5.962e-03;1.049e+00;1.000e+01;7.830e-01;1.571e-02;1.045e+00;1.000e+00;7.832e-01;1.000e+00
0.064023000;1.045e+00;8.069e-01;-6.229e-03;7.725e-01;-5.964e-03;1.049e+00;1.000e+01;7.830e-01;1.571e-02;1.045e+00;1.000e+00;7.832e-01;1.000e+00
0.064027000;1.045e+00;8.069e-01;-6.230e-03;7.725e-01;-5.964e-03;1.049e+00;1.000e+01;7.830e-01;1.571e-02;1.045e+00;1.000e+00;7.832e-01;1.000e+00
0.064035000;1.045e+00;8.069e-01;-6.230e-03;7.725e-01;-5.964e-03;1.049e+00;1.000e+01;7.830e-01;1.571e-02;1.045e+00;1.000e+00;7.832e-01;1.000e+00
0.064051000;1.045e+00;8.069e-01;-6.232e-03;7.725e-01;-5.966e-03;1.049e+00;1.000e+01;7.830e-01;1.571e-02;1.045e+00;1.000e+00;7.832e-01;1.000e+00
0.064083000;1.045e+00;8.069e-01;-6.234e-03;7.725e-01;-5.968e-03;1.049e+00;1.000e+01;7.830e-01;1.570e-02;1.045e+00;1.000e+00;7.831e-01;1.000e+00
0.064147000;1.045e+00;8.068e-01;-6.240e-03;7.724e-01;-5.974e-03;1.049e+00;1.000e+01;7.829e-01;1.570e-02;1.045e+00;1.000e+00;7.831e-01;1.000e+00
