time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent
63.705638;1.0347443317277492;0.8333455006022095;0.8053571583909951;-0.02273727528164288;-0.021974265389090055;10.000785193407047;0.8337884023849745;-0.0059940148552043845;0.8056298063209716;0.005791730340785507;1.0347868325150336;0.8056849308627498
63.715638;1.034743466430836;0.8333455109923421;0.8053563583559017;-0.022737275164651984;-0.02197426523974707;10.000786156455137;0.833789569938297;-0.005994015226330369;0.8056312400265517;0.005791735728883292;1.0347874364865473;0.8056860520340003
63.725638;1.034742564780734;0.8333454821471681;0.8053555977836429;-0.022737275073691894;-0.02197426507950379;10.000787145473764;0.8337906908970949;-0.005994015578275378;0.8056327083605476;0.005791741261399636;1.0347880318999434;0.8056871203115169
63.735638;1.034741628840575;0.8333454162495803;0.8053548801668476;-0.022737275008730077;-0.021974264909185394;10.000788154638872;0.8337917633259505;-0.0059940159109057685;0.8056342092686987;0.0057917469420903055;1.0347886163280284;0.8056881337167686
63.745638;1.0347406623413014;0.8333453167822985;0.8053542104514767;-0.02273727496935801;-0.021974264729836726;10.000789181160298;0.8337927847239581;-0.005994016223950154;0.8056357393462349;0.005791752773233404;1.0347891867005838;0.8056890919096603
63.755638;1.0347396701338645;0.833345188430017;0.8053535939472781;-0.022737274954690762;-0.021974264542446366;10.00079022854979;0.8337937520114495;-0.0059940165172530455;0.8056372944303587;0.00579175875582385;1.0347897389270322;0.8056899961187969
63.765638;1.0347386567664378;0.8333450364065674;0.8053530354580293;-0.022737274963414596;-0.02197426434771745;10.000791304817811;0.8337946621536653;-0.005994016790799646;0.8056388698349858;0.005791764890522772;1.0347902682304222;0.8056908490019291
63.775638;1.034737624883957;0.8333448656637913;0.8053525387436739;-0.02273727499399953;-0.021974264146106;10.000792418298463;0.8337955131817573;-0.005994017044402534;0.805640460497212;0.005791771177619444;1.0347907701276478;0.8056916540961748
63.785638;1.0347365748289428;0.8333446803101774;0.8053521060631332;-0.02273727504488922;-0.02197426393816213;10.000793576197543;0.8337963049515282;-0.00599401727771121;0.8056420613000607;0.005791777618245236;1.0347912410437208;0.8056924148951085
63.795638;1.034735506215897;0.8333444838919108;0.805351738031574;-0.02273727511457931;-0.02197426372482115;10.00079478692512;0.833797039260512;-0.0059940174905841305;0.8056436671530511;0.005791784214952892;1.034791677882885;0.8056931338202065
