time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.300480000;1.051e+00;7.498e-01;-4.456e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.310480000;1.051e+00;7.498e-01;-4.456e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.320480000;1.051e+00;7.498e-01;-4.456e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.330480000;1.051e+00;7.498e-01;-4.456e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.340480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.350480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.360480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.370480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.380480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.390480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.400480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.410480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.420480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.430480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.440480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.450480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.460480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.470480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.480480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.490480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.500480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.510480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.520480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.530480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.540480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.550480000;1.051e+00;7.498e-01;-4.455e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.560480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.570480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.580480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.590480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.600480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.610480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.620480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.630480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.640480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.650480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.660480000;1.051e+00;7.498e-01;-4.454e-01;7.136e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.670480000;1.051e+00;7.498e-01;-4.454e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.680480000;1.051e+00;7.498e-01;-4.454e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
