time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.085778000;1.052e+00;7.411e-01;2.763e-04;7.047e-01;2.627e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.093151000;1.052e+00;7.403e-01;7.824e-05;7.039e-01;7.439e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.100524000;1.052e+00;7.398e-01;-4.941e-05;7.034e-01;-4.699e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.107159000;1.052e+00;7.395e-01;-1.103e-04;7.031e-01;-1.049e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.113795000;1.052e+00;7.392e-01;-1.329e-04;7.029e-01;-1.264e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.120430000;1.052e+00;7.391e-01;-1.296e-04;7.028e-01;-1.233e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.127066000;1.052e+00;7.390e-01;-1.149e-04;7.027e-01;-1.093e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.133701000;1.052e+00;7.389e-01;-9.539e-05;7.026e-01;-9.070e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.143701000;1.052e+00;7.388e-01;-7.271e-05;7.025e-01;-6.914e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.153701000;1.052e+00;7.388e-01;-5.950e-05;7.024e-01;-5.657e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.163701000;1.052e+00;7.388e-01;-5.598e-05;7.024e-01;-5.323e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.173701000;1.052e+00;7.387e-01;-5.684e-05;7.024e-01;-5.405e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.183701000;1.052e+00;7.387e-01;-5.956e-05;7.024e-01;-5.663e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.193701000;1.052e+00;7.387e-01;-6.241e-05;7.024e-01;-5.934e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.203701000;1.052e+00;7.387e-01;-6.107e-05;7.024e-01;-5.807e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.213701000;1.052e+00;7.387e-01;-5.923e-05;7.023e-01;-5.632e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.223701000;1.052e+00;7.387e-01;-5.501e-05;7.023e-01;-5.230e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.233701000;1.052e+00;7.387e-01;-4.985e-05;7.023e-01;-4.740e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.243701000;1.052e+00;7.387e-01;-4.513e-05;7.023e-01;-4.291e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.253701000;1.052e+00;7.387e-01;-3.982e-05;7.023e-01;-3.786e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.263701000;1.052e+00;7.387e-01;-3.327e-05;7.023e-01;-3.163e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.273701000;1.052e+00;7.387e-01;-2.811e-05;7.023e-01;-2.673e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.283701000;1.052e+00;7.387e-01;-2.156e-05;7.023e-01;-2.050e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.293701000;1.052e+00;7.387e-01;-1.709e-05;7.023e-01;-1.624e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.303701000;1.052e+00;7.387e-01;-1.069e-05;7.023e-01;-1.016e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.313701000;1.052e+00;7.387e-01;-4.385e-06;7.023e-01;-4.169e-06;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.323701000;1.052e+00;7.387e-01;3.307e-06;7.023e-01;3.144e-06;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.333701000;1.052e+00;7.387e-01;9.858e-06;7.023e-01;9.372e-06;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.343701000;1.052e+00;7.387e-01;1.740e-05;7.023e-01;1.654e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.353701000;1.052e+00;7.387e-01;2.484e-05;7.023e-01;2.362e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
