Time (s);P PCC (pu);P lower (pu);P upper (pu)
4.552e-01;-8.517e-02;-1.481e-01;1.401e-01
4.568e-01;-8.487e-02;-1.481e-01;1.392e-01
4.585e-01;-8.456e-02;-1.481e-01;1.383e-01
4.602e-01;-8.425e-02;-1.480e-01;1.375e-01
4.618e-01;-8.394e-02;-1.480e-01;1.366e-01
4.635e-01;-8.362e-02;-1.479e-01;1.357e-01
4.652e-01;-8.330e-02;-1.478e-01;1.349e-01
4.668e-01;-8.297e-02;-1.477e-01;1.340e-01
4.685e-01;-8.264e-02;-1.476e-01;1.332e-01
4.702e-01;-8.230e-02;-1.475e-01;1.324e-01
4.718e-01;-8.196e-02;-1.474e-01;1.316e-01
4.735e-01;-8.162e-02;-1.472e-01;1.307e-01
4.752e-01;-8.127e-02;-1.471e-01;1.299e-01
4.768e-01;-8.092e-02;-1.470e-01;1.291e-01
4.785e-01;-8.057e-02;-1.468e-01;1.283e-01
4.802e-01;-8.021e-02;-1.466e-01;1.275e-01
4.818e-01;-7.985e-02;-1.464e-01;1.267e-01
4.835e-01;-7.948e-02;-1.462e-01;1.260e-01
4.852e-01;-7.912e-02;-1.460e-01;1.252e-01
4.868e-01;-7.874e-02;-1.458e-01;1.244e-01
4.885e-01;-7.837e-02;-1.456e-01;1.237e-01
4.902e-01;-7.799e-02;-1.454e-01;1.229e-01
4.918e-01;-7.761e-02;-1.451e-01;1.222e-01
4.935e-01;-7.723e-02;-1.449e-01;1.214e-01
4.952e-01;-7.685e-02;-1.446e-01;1.207e-01
4.968e-01;-7.646e-02;-1.444e-01;1.200e-01
4.985e-01;-7.607e-02;-1.441e-01;1.192e-01
5.002e-01;-7.567e-02;-1.438e-01;1.185e-01
5.018e-01;-7.528e-02;-1.435e-01;1.178e-01
5.035e-01;-7.488e-02;-1.432e-01;1.171e-01
5.052e-01;-7.448e-02;-1.429e-01;1.164e-01
5.068e-01;-7.408e-02;-1.426e-01;1.157e-01
5.085e-01;-7.368e-02;-1.423e-01;1.150e-01
5.102e-01;-7.327e-02;-1.420e-01;1.143e-01
5.118e-01;-7.286e-02;-1.416e-01;1.136e-01
5.135e-01;-7.245e-02;-1.413e-01;1.130e-01
5.152e-01;-7.204e-02;-1.409e-01;1.123e-01
5.168e-01;-7.163e-02;-1.406e-01;1.116e-01
5.185e-01;-7.122e-02;-1.402e-01;1.110e-01
5.202e-01;-7.080e-02;-1.399e-01;1.103e-01
5.218e-01;-7.038e-02;-1.395e-01;1.097e-01
5.235e-01;-6.997e-02;-1.391e-01;1.090e-01
5.252e-01;-6.955e-02;-1.387e-01;1.084e-01
