time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
52.517112;1.084125544838172;0.8333269927727958;0.7686587383158515;0.21004096529147107;0.19374077420596628;1.089370254896576;10.00002209847042;0.7753245974484891;0.2124117313181573;0.9999960275892953;0.8039006775837974;0.9999977263077192
52.527112;1.084125830518852;0.8333272612713525;0.7686588073627759;0.21004098551356287;0.19374075571725063;1.0893705066324118;10.000022218907592;0.775324545833269;0.21241170744277074;0.9999960589080572;0.8039006541619507;0.9999977700528114
52.537112;1.0841261199601735;0.8333275351341942;0.7686588795577451;0.210041006005039;0.19374073603093467;1.089370755917459;10.000022300179001;0.7753244902305022;0.21241168160728346;0.9999960944070788;0.8039006248936836;0.9999978158185768
52.547112;1.0841264133497583;0.8333278140165941;0.7686589546414577;0.210041026756008;0.19374071517847893;1.0893710026475518;10.000022344289498;0.7753244309002106;0.21241165388468414;0.9999961337555346;0.8039005902624013;0.9999978632777028
52.557112;1.0841267111265513;0.8333280974847188;0.768659032396279;0.21004104776762597;0.19374069316382037;1.0893712466007697;10.000022352867738;0.7753243681477779;0.21241162436347982;0.9999961767179568;0.8039005508277255;0.999997912224392
52.567112;1.0841270139518602;0.8333283850358182;0.768659112599316;0.21004106903166803;0.1937406699611432;1.0893714874111733;10.000022328325306;0.7753243023230825;0.2124115931190757;0.9999962231801282;0.8039005071584594;0.9999979625442625
52.577112;1.0841273226160586;0.8333286761245909;0.7686591949693096;0.21004109052381717;0.19374064552181758;1.089371724559402;10.000022274823426;0.7753242337702775;0.21241156021669874;0.9999962731354525;0.8039004597565392;0.999998014161071
52.587112;1.0841276379508806;0.8333289701708864;0.7686592791667968;0.21004111221728058;0.19374061978814644;1.0893719573711285;10.000022197743812;0.7753241627525804;0.21241152573182426;0.9999963267146014;0.8039004090259408;0.999998067091649
52.597112;1.0841279607229406;0.8333292665845807;0.768659364845143;0.21004113409639755;0.19374059271021382;1.089372185092564;10.000022102822937;0.7753240894243663;0.21241148976089444;0.9999963841599752;0.8039003552998409;0.9999981215170473
52.607112;1.0841282915342294;0.8333295647811405;0.7686594516646617;0.21004115614324917;0.193740564259528;1.0893724069729096;10.00002199574825;0.77532401388356;0.2124114524183439;0.9999964456761721;0.8039002988507951;0.9999981777178814
52.617112;1.0841286307853508;0.833329864196022;0.768659539282793;0.21004117830731095;0.19374053443615424;1.0893726223159979;10.00002188176434;0.7753239362260648;0.21241141382066564;0.9999965113209792;0.803900239852091;0.9999982359496679
52.627112;1.0841289786215762;0.8333301643630179;0.7686596273949181;0.2100412004976638;0.19374050326879919;1.089372830493567;10.000021765555639;0.7753238565144495;0.21241137406610683;0.9999965810325718;0.8039001783737324;0.9999982964382632
52.637112;1.0841293348829073;0.833330465001542;0.7686597157839301;0.21004122260537345;0.19374047081483642;1.0893730309239744;10.000021651104747;0.7753237747158502;0.21241133322295208;0.9999966546869539;0.8039001144425337;0.9999983594745298
52.647112;1.0841296991747913;0.833330765997417;0.7686598042946264;0.21004124452250858;0.19374043715520983;1.089373223114987;10.000021540808275;0.7753236907289234;0.21241129134512257;0.9999967320980124;0.80390004810197;0.9999984254515892
52.657112;1.0841300709629011;0.8333310673111773;0.7686598927770042;0.21004126614769897;0.1937404023769022;1.0893734067586622;10.000021434841814;0.7753236045101237;0.212411248518619;0.9999968130126864;0.8038999794359227;0.9999984948248221
52.667112;1.084130449604333;0.8333313688755055;0.7686599810739437;0.21004128739669706;0.19374036656204402;1.0893735817427004;10.000021331812844;0.7753235161773752;0.21241120488165732;0.9999968971787068;0.8038999085737185;0.999998568078438
52.677112;1.084130834430059;0.8333316705070701;0.7686600690343629;0.2100413082092368;0.19374032978976713;1.089373748095816;10.000021230300014;0.7753234259976071;0.21241116058933043;0.99999698440705;0.8038998357265914;0.9999986456629401
52.687112;1.0841312249056165;0.8333319718926825;0.7686601565355472;0.2100413285409982;0.1937402921382502;1.089373905975756;10.000021130033034;0.7753233343148308;0.2124111157814362;0.9999970745094579;0.8038997612588309;0.9999987278317707
52.697112;1.0841316206617937;0.8333322726373399;0.7686602435204363;0.2100413483599464;0.19374025368980877;1.089374055691323;10.000021031227655;0.7753232415138768;0.2124110705834048;0.9999971671913092;0.8038996856846972;0.9999988145123556
52.707112;1.0841320213068069;0.8333325723283073;0.7686603299901679;0.21004136765516687;0.19374021453808;1.0893741976935896;10.00002093303312;0.7753231480090169;0.2124110251164584;0.9999972620562466;0.8038996095566404;0.9999989053891978
52.717112;1.0841324262545402;0.8333328705934286;0.7686604159390186;0.21004138644622705;0.1937401747901408;1.0893743324944394;10.000020833793592;0.7753230541827589;0.21241097950921722;0.9999973587295754;0.8038995333648974;0.9999990001019065
52.727112;1.0841328347257047;0.8333331671421127;0.7686605013172599;0.2100414047876679;0.19374013456525185;1.0893744605634093;10.000020732443232;0.7753229602849916;0.2124109339058056;0.9999974569603359;0.8038994575148244;0.9999990983504253
52.737112;1.0841332458412454;0.8333334618039551;0.7686605860411414;0.21004142276897964;0.1937400939948923;1.0893745823356742;10.000020628559488;0.775322866416703;0.21241088846137018;0.9999975565773067;0.8038993823268095;0.9999991998740806
52.747112;1.0841336586886845;0.8333337544958408;0.768660670013401;0.21004144050397613;0.1937400532278446;1.089374698273926;10.000020521767729;0.7753227726458657;0.2124108433345042;0.9999976573846425;0.8038993080194002;0.9999993044004161
52.757112;1.084134072298262;0.8333340450803768;0.7686607531662248;0.21004145811049657;0.19374001242746342;1.0893748088463469;10.000020412321344;0.7753226791076966;0.212410798683628;0.9999977591346746;0.8038992347127002;0.9999994116616094
52.767112;1.084134485588623;0.8333343332710361;0.7686608355288683;0.21004147569312565;0.19373997174906624;1.0893749145259737;10.00002030220438;0.7753225859771842;0.21241075466330514;0.9999978615244012;0.8038991624563048;0.9999995214622475
52.777112;1.0841348973682752;0.8333346186685826;0.7686609172679993;0.21004149333349073;0.19373993131941347;1.0893750158655455;10.00002019536518;0.7753224934298987;0.21241071141259418;0.9999979641835931;0.8038990912516493;0.9999996336991007
52.787112;1.0841353064146537;0.8333349008258849;0.7686609986610227;0.21004151109037272;0.19373989124077898;1.0893751135034064;10.000020097118547;0.7753224016736324;0.2124106690304949;0.9999980667569958;0.8038990210884387;0.9999997483439089
52.797112;1.0841357115988997;0.8333351792715094;0.7686610800407864;0.21004152901208525;0.1937398516093472;1.089375208080739;10.000020013426482;0.7753223109662418;0.2124106275576497;0.9999981690459517;0.8038989519657519;0.9999998654541784
52.807112;1.0841361119295134;0.8333354535382389;0.7686611617711866;0.2100415471415098;0.19373981252463035;1.0893753001764663;10.000019950548355;0.7753222216161297;0.21241058697854717;0.9999982710420569;0.8038988838402784;0.9999999851893083
52.817112;1.084136506480454;0.8333357232223642;0.7686612442279039;0.2100415654963421;0.1937397740836781;1.0893753903205972;10.000019914716209;0.7753221340079254;0.21241054723306163;0.999998372837212;0.8038988165596963;1.0000001078005867
