time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.002938000;1.064e+00;4.026e-01;1.471e-01;3.782e-01;1.381e-01;1.068e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.773e-01;1.406e-01;4.027e-01;1.000e+00
0.003062000;1.065e+00;4.030e-01;1.536e-01;3.783e-01;1.442e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.467e-01;4.049e-01;1.000e+00
0.003062000;1.065e+00;4.030e-01;1.536e-01;3.783e-01;1.442e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.467e-01;4.049e-01;1.000e+00
0.003063000;1.065e+00;4.030e-01;1.537e-01;3.783e-01;1.443e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.468e-01;4.049e-01;1.000e+00
0.003064000;1.065e+00;4.030e-01;1.537e-01;3.783e-01;1.443e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.468e-01;4.049e-01;1.000e+00
0.003066000;1.065e+00;4.030e-01;1.538e-01;3.783e-01;1.444e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.469e-01;4.049e-01;1.000e+00
0.003070000;1.065e+00;4.030e-01;1.540e-01;3.783e-01;1.446e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.471e-01;4.050e-01;1.000e+00
0.003078000;1.065e+00;4.030e-01;1.544e-01;3.783e-01;1.450e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.475e-01;4.052e-01;1.000e+00
0.003094000;1.065e+00;4.031e-01;1.552e-01;3.783e-01;1.457e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.482e-01;4.054e-01;1.000e+00
0.003126000;1.066e+00;4.032e-01;1.568e-01;3.784e-01;1.472e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.497e-01;4.060e-01;1.000e+00
0.003190000;1.066e+00;4.034e-01;1.600e-01;3.784e-01;1.501e-01;1.070e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.527e-01;4.071e-01;1.000e+00
0.003318000;1.067e+00;4.037e-01;1.661e-01;3.785e-01;1.557e-01;1.071e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.775e-01;1.583e-01;4.093e-01;1.000e+00
